player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Dele Alli,20,eng ENG,FW,21-221,74,0,0,0,0,2,0,0,0,36,0,0,1,0.1,0.1,0.0,1,0,21,28,75.0,3,23,3,4,3
Son Heung-min,7,kr KOR,CM,25-133,16,0,0,0,0,2,0,0,0,9,0,0,0,0.1,0.1,0.0,1,0,4,6,66.7,0,6,0,0,0
Harry Kane,10,eng ENG,FW,24-113,74,0,0,0,0,5,2,1,0,33,1,1,1,0.3,0.3,0.0,4,0,11,14,78.6,1,19,0,4,2
Fernando Llorente,18,es ESP,FW,32-265,16,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.1,2,0,4,5,80.0,1,4,0,0,0
Christian Eriksen,23,dk DEN,CM,25-277,90,0,0,0,0,3,1,0,0,64,0,1,3,0.1,0.1,0.1,4,0,41,56,73.2,11,40,2,0,0
Mousa Dembélé,19,be BEL,CM,30-125,61,0,0,0,0,0,0,0,0,57,2,4,2,0.0,0.0,0.1,2,0,41,47,87.2,7,34,1,3,3
Harry Winks,29,eng ENG,CM,21-289,29,0,0,0,0,0,0,0,0,46,1,0,1,0.0,0.0,0.0,0,0,37,43,86.0,5,32,2,1,1
Moussa Sissoko,17,fr FRA,CM,28-094,90,0,0,0,0,0,0,0,0,64,1,0,0,0.0,0.0,0.1,4,0,47,55,85.5,6,39,3,5,3
Ben Davies,33,wls WAL,WB,24-208,90,0,0,0,0,0,0,0,0,72,2,2,2,0.0,0.0,0.2,4,0,39,60,65.0,5,37,5,2,2
Kieran Trippier,2,eng ENG,WB,27-060,90,0,0,0,0,0,0,0,0,74,0,1,4,0.0,0.0,0.0,1,0,52,66,78.8,3,28,0,1,0
Jan Vertonghen,5,be BEL,CB,30-208,90,0,0,0,0,0,0,0,0,79,2,4,1,0.0,0.0,0.1,2,0,60,70,85.7,6,38,2,0,0
Eric Dier,15,eng ENG,CB,23-307,90,0,0,0,0,1,1,0,0,66,1,1,2,0.1,0.1,0.0,2,0,45,56,80.4,0,42,2,0,0
Davinson Sánchez,6,co COL,CB,21-159,90,0,0,0,0,1,0,0,0,83,2,3,1,0.0,0.0,0.0,0,0,52,70,74.3,2,41,0,1,1
Hugo Lloris,1,fr FRA,GK,30-327,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,18,28,64.3,0,16,0,0,0
