player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Salomón Rondón,9,ve VEN,FW,28-182,90,0,1,0,0,3,2,0,0,54,0,1,0,0.3,0.3,0.8,4,1,22,35,62.9,3,34,3,3,0
Jay Rodriguez,19,eng ENG,FW,28-231,85,1,0,0,0,2,2,0,0,30,2,0,1,0.8,0.8,0.0,1,0,16,20,80.0,3,19,2,2,1
Hal Robson-Kanu,4,wls WAL,FW,28-300,5,0,0,0,0,1,0,0,0,3,0,0,0,0.1,0.1,0.0,0,0,0,1,0.0,0,1,0,0,0
Chris Brunt,11,nir NIR,"CM,LM",33-093,81,0,0,0,0,1,1,0,0,51,4,1,1,0.0,0.0,0.0,1,0,28,41,68.3,4,34,1,1,1
Sam Field,28,eng ENG,DM,19-313,9,0,0,0,0,1,0,0,0,10,0,0,0,0.1,0.1,0.1,2,0,9,9,100.0,5,7,0,0,0
Claudio Yacob,5,ar ARG,"CM,DM",30-242,90,0,0,0,0,1,0,0,0,55,2,0,3,0.0,0.0,0.0,0,0,35,42,83.3,6,25,0,0,0
Jake Livermore,8,eng ENG,"CM,DM",28-123,90,0,0,0,0,0,0,1,0,43,4,1,3,0.0,0.0,0.0,3,0,26,34,76.5,4,21,2,0,0
Kieran Gibbs,3,eng ENG,"WB,LB",28-172,90,0,0,0,0,0,0,0,0,55,5,1,0,0.0,0.0,0.4,5,1,29,44,65.9,2,23,2,1,0
Allan Nyom,2,cm CMR,"WB,CB,RB",29-311,90,0,0,0,0,0,0,0,0,48,0,2,0,0.0,0.0,0.2,1,0,28,37,75.7,1,29,3,3,1
Ahmed Hegazi,26,eg EGY,CB,27-051,90,0,0,0,0,0,0,0,0,50,3,3,5,0.0,0.0,0.1,1,0,21,34,61.8,1,22,0,0,0
Jonny Evans,6,nir NIR,CB,30-073,76,0,0,0,0,0,0,0,0,28,0,3,1,0.0,0.0,0.0,1,0,15,18,83.3,2,14,0,0,0
Matt Phillips,10,sct SCO,"WB,RM",27-004,14,0,0,0,0,1,0,0,0,8,0,0,0,0.2,0.2,0.0,1,0,4,6,66.7,0,5,0,0,0
Craig Dawson,25,eng ENG,CB,27-315,90,0,0,0,0,1,0,1,0,53,1,3,1,0.1,0.1,0.0,1,0,24,38,63.2,4,27,0,0,0
Ben Foster,1,eng ENG,GK,34-348,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,14,33,42.4,0,18,0,0,0
