player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Callum Wilson,13,eng ENG,FW,26-039,61,0,0,0,0,5,0,0,0,21,1,0,1,0.5,0.5,0.1,3,0,8,8,100.0,2,13,1,1,0
Joshua King,17,no NOR,LM,26-082,29,1,0,0,0,2,2,0,0,18,0,0,0,0.7,0.7,0.0,0,0,7,12,58.3,2,14,3,3,0
Jermain Defoe,18,eng ENG,FW,35-182,90,0,0,0,0,3,0,0,0,22,0,0,1,0.3,0.3,0.0,2,0,7,14,50.0,1,17,3,2,0
Marc Pugh,7,eng ENG,LM,31-005,61,0,0,0,0,2,1,0,0,37,0,1,0,0.1,0.1,0.0,1,0,24,32,75.0,6,28,6,4,2
Lys Mousset,31,fr FRA,FW,22-058,29,1,0,0,0,3,1,0,0,14,0,0,0,0.1,0.1,0.0,1,1,7,9,77.8,2,10,0,2,1
Dan Gosling,4,eng ENG,CM,28-065,90,0,0,0,0,1,0,1,0,69,1,0,2,0.1,0.1,0.0,1,0,51,62,82.3,14,33,2,1,1
Lewis Cook,16,eng ENG,CM,21-063,79,0,0,0,0,1,1,0,0,62,1,3,2,0.0,0.0,0.0,5,0,37,51,72.5,6,32,1,2,1
Andrew Surman,6,eng ENG,CM,31-230,11,0,0,0,0,0,0,0,0,12,0,1,0,0.0,0.0,0.0,2,0,8,9,88.9,1,9,0,2,1
Ryan Fraser,24,sct SCO,RM,24-042,90,0,1,0,0,1,0,0,0,59,0,1,0,0.1,0.1,0.6,10,1,37,54,68.5,2,29,5,3,1
Charlie Daniels,11,eng ENG,LB,31-212,90,0,0,0,0,1,0,0,0,76,1,1,0,0.0,0.0,0.2,2,0,57,72,79.2,5,41,5,0,0
Nathan Aké,5,nl NED,CB,23-048,90,0,0,0,0,0,0,0,0,66,0,1,1,0.0,0.0,0.0,1,0,51,58,87.9,3,45,1,0,0
Steve Cook,3,eng ENG,CB,26-353,90,0,1,0,0,2,0,0,0,76,1,1,2,0.2,0.2,0.7,2,1,54,66,81.8,6,40,0,0,0
Simon Francis,2,eng ENG,RB,33-050,90,0,0,0,0,0,0,1,0,85,2,0,0,0.0,0.0,0.2,3,0,55,79,69.6,5,40,3,0,0
Asmir Begović,27,ba BIH,GK,30-291,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,19,21,90.5,0,7,0,0,0
