player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Dwight Gayle,9,eng ENG,FW,27-057,90,0,0,0,0,2,1,0,0,22,0,1,0,0.2,0.2,0.0,1,0,12,13,92.3,1,19,1,1,1
Matt Ritchie,11,sct SCO,LW,28-094,73,0,0,0,0,3,1,0,0,53,1,2,2,0.1,0.1,0.0,3,0,26,42,61.9,3,22,3,1,0
Rolando Aarons,16,eng ENG,"LW,LM",22-027,17,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,5,7,71.4,0,6,1,0,0
Christian Atsu,30,gh GHA,"RW,RM",25-337,90,0,0,0,0,1,1,0,0,42,0,1,0,0.1,0.1,0.1,5,0,31,37,83.8,2,37,4,2,2
Mohamed Diamé,10,sn SEN,AM,30-182,66,0,0,0,0,0,0,0,0,29,1,0,0,0.0,0.0,0.0,1,0,17,27,63.0,1,20,0,0,0
Joselu,21,es ESP,"AM,CM",27-261,24,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,3,7,42.9,0,3,0,0,0
Jonjo Shelvey,8,eng ENG,DM,25-289,89,0,0,0,0,2,0,2,1,83,0,0,1,0.1,0.1,0.2,5,0,55,77,71.4,10,49,2,2,1
Mikel Merino,23,es ESP,DM,21-174,85,0,0,0,0,4,1,1,0,83,5,2,2,0.1,0.1,0.0,3,0,55,65,84.6,7,51,1,0,0
Ayoze Pérez,17,es ESP,CM,24-137,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Javier Manquillo,19,es ESP,LB,23-222,90,0,0,0,0,0,0,0,0,93,4,1,3,0.0,0.0,0.1,4,0,59,80,73.8,4,34,3,4,2
Florian Lejeune,20,fr FRA,CB,26-207,90,0,0,0,0,3,0,0,0,85,0,2,0,0.1,0.1,0.0,1,0,54,76,71.1,4,44,2,0,0
Jamaal Lascelles,6,eng ENG,CB,24-032,90,0,0,0,0,0,0,0,0,59,1,0,1,0.0,0.0,0.0,1,0,45,56,80.4,6,36,1,1,1
DeAndre Yedlin,22,us USA,RB,24-157,90,0,0,0,0,1,0,0,0,71,4,1,0,0.1,0.1,0.0,3,0,46,61,75.4,4,41,6,7,4
Karl Darlow,26,wls WAL,GK,27-066,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,1,0,19,31,61.3,0,20,0,0,0
