player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Romelu Lukaku,9,be BEL,FW,24-098,90,1,0,0,0,3,1,0,0,25,0,0,0,0.5,0.5,0.0,1,0,11,18,61.1,0,17,2,2,1
Marcus Rashford,19,eng ENG,LW,19-292,74,0,0,0,0,4,3,0,0,30,1,0,2,0.5,0.5,0.0,3,0,15,16,93.8,2,19,5,8,5
Anthony Martial,11,fr FRA,"LW,LM",21-257,16,1,0,0,0,2,1,0,0,18,0,0,0,0.1,0.1,0.0,3,2,12,13,92.3,0,12,1,3,1
Juan Mata,8,es ESP,RW,29-113,74,0,0,0,0,1,0,0,0,60,0,1,0,0.1,0.1,0.4,4,0,43,58,74.1,1,41,0,3,2
Marouane Fellaini,27,be BEL,"RW,CM",29-270,16,0,0,0,0,0,0,0,0,17,0,1,0,0.0,0.0,0.0,0,0,12,14,85.7,1,9,0,0,0
Henrikh Mkhitaryan,22,am ARM,AM,28-210,84,0,2,0,0,2,0,0,0,71,1,1,0,0.1,0.1,0.8,6,3,56,63,88.9,6,48,5,4,2
Ander Herrera,21,es ESP,RM,28-005,6,0,0,0,0,0,0,0,0,8,0,1,0,0.0,0.0,0.0,0,0,8,8,100.0,0,4,0,0,0
Nemanja Matić,31,rs SRB,DM,29-018,90,0,0,0,0,0,0,0,0,100,4,1,3,0.0,0.0,0.0,1,0,77,85,90.6,4,56,1,2,1
Paul Pogba,6,fr FRA,"DM,CM",24-157,90,1,1,0,0,3,2,1,0,91,3,2,1,0.5,0.5,0.2,4,2,63,79,79.7,7,51,5,2,1
Daley Blind,17,nl NED,LB,27-163,90,0,0,0,0,0,0,0,0,91,2,3,2,0.0,0.0,0.1,3,0,63,74,85.1,4,47,1,1,0
Phil Jones,4,eng ENG,CB,25-179,90,0,0,0,0,1,0,0,0,62,1,3,0,0.4,0.4,0.0,1,0,44,46,95.7,2,28,0,0,0
Eric Bailly,3,ci CIV,CB,23-129,90,1,0,0,0,1,1,0,0,62,1,3,0,0.9,0.9,0.0,0,0,45,48,93.8,6,29,0,0,0
Antonio Valencia,25,ec ECU,RB,32-015,90,0,0,0,0,0,0,0,0,98,3,1,2,0.0,0.0,0.0,2,0,79,89,88.8,5,47,3,0,0
David de Gea,1,es ESP,GK,26-285,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,14,26,53.8,0,11,0,0,0
