player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Eden Hazard,10,be BEL,FW,27-029,90,1,0,0,0,1,1,0,0,44,0,0,0,0.0,0.0,0.5,2,0,31,37,83.8,5,29,4,6,4
Pedro,11,es ESP,"AM,DM",30-192,63,0,0,0,0,1,0,0,0,33,0,1,0,0.1,0.1,0.0,1,0,16,22,72.7,2,24,2,3,1
Olivier Giroud,18,fr FRA,FW,31-128,27,0,0,0,0,2,1,0,0,22,0,0,0,0.5,0.5,0.0,1,0,11,15,73.3,1,6,0,1,0
Willian,22,br BRA,AM,29-180,33,0,0,0,0,1,0,0,0,16,0,0,0,0.1,0.1,0.0,0,0,10,14,71.4,3,11,0,0,0
Cesc Fàbregas,4,es ESP,DM,30-277,57,0,0,0,0,1,1,1,0,70,2,0,1,0.1,0.1,0.0,3,1,51,61,83.6,5,42,0,1,0
Tiemoué Bakayoko,14,fr FRA,CM,23-172,29,0,0,0,0,0,0,2,1,25,2,0,0,0.0,0.0,0.0,0,0,8,12,66.7,0,11,1,1,1
N'Golo Kanté,7,fr FRA,"DM,CM",26-313,90,0,0,0,0,0,0,0,0,62,3,4,3,0.0,0.0,0.0,0,0,43,49,87.8,5,38,2,2,2
Davide Zappacosta,21,it ITA,WB,25-239,90,0,0,0,0,1,0,0,0,54,2,0,1,0.0,0.0,0.0,0,0,37,43,86.0,0,34,2,1,0
Victor Moses,15,ng NGA,WB,27-055,90,0,0,0,0,0,0,0,0,50,0,0,2,0.0,0.0,0.1,3,0,30,42,71.4,3,29,1,4,4
Gary Cahill,24,eng ENG,CB,32-048,90,0,0,0,0,0,0,0,0,81,2,2,3,0.0,0.0,0.0,1,0,57,67,85.1,4,50,1,0,0
David Luiz,30,br BRA,CB,30-289,90,0,0,0,0,0,0,1,0,77,1,1,0,0.0,0.0,0.0,1,1,49,64,76.6,3,58,3,0,0
César Azpilicueta,28,es ESP,CB,28-161,90,0,0,0,0,0,0,0,0,91,4,1,3,0.0,0.0,0.1,2,0,76,82,92.7,1,54,0,0,0
Thibaut Courtois,13,be BEL,GK,25-270,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,25,36,69.4,0,17,0,0,0
