player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Salomón Rondón,9,ve VEN,FW,28-077,90,0,0,0,0,4,2,0,0,40,0,1,0,0.2,0.2,0.0,4,0,18,27,66.7,2,30,2,4,3
Jay Rodriguez,19,eng ENG,LW,28-126,89,0,0,0,0,6,3,0,0,60,2,1,0,0.8,0.8,0.2,6,0,25,37,67.6,4,33,3,2,1
Oliver Burke,17,sct SCO,LW,20-239,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0
Hal Robson-Kanu,4,wls WAL,RW,28-195,71,0,0,0,0,4,1,0,0,31,0,1,1,0.6,0.6,0.1,3,0,13,19,68.4,1,22,0,1,0
James McClean,14,ie IRL,RW,28-224,19,0,0,0,0,2,0,0,0,10,0,0,0,0.1,0.1,0.0,0,0,5,7,71.4,1,7,0,1,1
Sam Field,28,eng ENG,LM,19-208,90,0,0,0,0,3,0,1,0,63,2,2,1,0.2,0.2,0.1,4,0,33,46,71.7,11,31,2,3,2
Gareth Barry,18,eng ENG,CM,36-282,29,0,0,0,0,0,0,0,0,26,1,1,0,0.0,0.0,0.1,5,0,15,23,65.2,3,11,0,0,0
Claudio Yacob,5,ar ARG,CM,30-137,61,0,0,0,0,0,0,0,0,39,3,4,0,0.0,0.0,0.0,0,0,22,28,78.6,4,13,1,0,0
Jake Livermore,8,eng ENG,RM,28-018,90,0,0,0,0,0,0,1,0,44,2,0,0,0.0,0.0,0.5,2,0,32,39,82.1,5,34,1,0,0
Kieran Gibbs,3,eng ENG,LB,28-067,90,0,0,0,0,0,0,0,0,67,1,1,0,0.0,0.0,0.0,1,0,46,63,73.0,6,27,2,1,1
Jonny Evans,6,nir NIR,CB,29-333,90,0,0,0,0,0,0,0,0,64,1,1,1,0.0,0.0,0.0,1,0,43,53,81.1,3,33,2,1,1
Ahmed Hegazi,26,eg EGY,CB,26-311,90,0,0,0,0,1,0,0,0,57,3,2,4,0.1,0.1,0.0,1,0,25,42,59.5,2,26,1,2,2
Allan Nyom,2,cm CMR,RB,29-206,90,0,0,0,0,0,0,1,0,52,0,2,0,0.0,0.0,0.1,5,0,29,44,65.9,2,16,1,1,0
Ben Foster,1,eng ENG,GK,34-243,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,14,26,53.8,0,12,0,1,1
