player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Tammy Abraham,10,eng ENG,FW,20-187,90,1,0,0,0,3,1,0,0,27,0,0,1,0.4,0.4,0.0,2,0,10,18,55.6,3,17,0,1,1
Sam Clucas,17,eng ENG,LM,27-194,90,0,1,0,0,0,0,1,0,59,0,0,2,0.0,0.0,0.7,4,1,47,53,88.7,5,37,3,1,1
Tom Carroll,14,eng ENG,CM,25-314,90,0,0,0,0,0,0,0,0,67,3,0,0,0.0,0.0,0.0,0,0,46,57,80.7,4,34,0,0,0
Andy King,24,wls WAL,CM,29-160,60,0,0,0,0,0,0,0,0,41,3,0,1,0.0,0.0,0.0,0,0,28,35,80.0,2,23,1,1,1
Nathan Dyer,12,eng ENG,"CM,RM",30-129,30,0,0,0,0,0,0,0,0,20,0,0,1,0.0,0.0,0.0,0,0,13,16,81.3,0,12,1,1,0
André Ayew,19,gh GHA,RM,28-111,84,0,0,0,0,2,0,0,0,34,1,1,1,0.3,0.3,0.0,0,0,22,26,84.6,2,26,3,0,0
Ki Sung-yueng,4,kr KOR,CM,29-073,6,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,1,3,0,1,1
Martin Olsson,16,se SWE,LB,29-325,90,0,0,0,0,1,0,0,0,46,3,0,0,0.1,0.1,0.0,2,0,25,36,69.4,2,29,5,3,2
Alfie Mawson,6,eng ENG,CB,24-078,90,0,0,0,0,0,0,0,0,71,1,1,0,0.0,0.0,0.0,0,0,52,65,80.0,9,36,4,0,0
Federico Fernández,33,ar ARG,CB,29-045,90,0,0,0,0,0,0,0,0,53,0,1,4,0.0,0.0,0.0,0,0,30,38,78.9,1,24,0,1,0
Mike van der Hoorn,5,nl NED,CB,25-174,45,0,0,0,0,0,0,0,0,37,0,1,1,0.0,0.0,0.0,1,0,26,30,86.7,3,23,0,3,2
Kyle Bartley,27,eng ENG,CB,26-320,45,0,0,0,0,0,0,1,0,32,0,1,2,0.0,0.0,0.1,1,0,21,27,77.8,5,16,2,0,0
Kyle Naughton,26,eng ENG,RB,29-141,90,0,0,0,0,1,0,0,0,60,2,1,1,0.1,0.1,0.0,1,0,31,50,62.0,1,24,0,4,3
Łukasz Fabiański,1,pl POL,GK,32-354,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,26,38,68.4,0,19,0,0,0
