player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Callum Paterson,13,sct SCO,FW,24-028,90,1,0,0,0,3,1,1,0,31,0,0,2,1.0,1.0,0.0,1,1,8,21,38.1,2,9,0,1,1
Josh Murphy,11,eng ENG,"LM,RM",23-259,71,0,0,0,0,3,0,0,0,30,1,0,0,0.1,0.1,0.0,1,0,15,20,75.0,0,23,2,2,0
Junior Hoilett,33,ca CAN,LM,28-158,19,0,0,0,0,2,0,0,0,13,1,0,0,0.1,0.1,0.2,2,0,6,8,75.0,0,10,2,0,0
Joe Ralls,8,eng ENG,CM,25-029,75,0,0,0,0,2,1,0,0,66,1,0,0,0.1,0.1,0.0,1,0,47,61,77.0,11,33,1,0,0
Bobby De Cordova-Reid,14,jm JAM,FW,25-281,15,0,0,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,0,0,2,4,50.0,0,5,1,0,0
Víctor Camarasa,21,es ESP,CM,24-166,90,0,0,0,0,5,2,0,0,66,1,0,0,0.2,0.2,0.1,5,0,41,56,73.2,3,44,3,1,1
Kadeem Harris,23,eng ENG,"RM,LM",25-155,90,0,0,0,0,1,0,0,0,50,2,0,1,0.0,0.0,0.1,8,0,25,34,73.5,1,32,4,5,2
Aron Gunnarsson,17,is ISL,"DM,CM",29-202,90,0,0,0,0,1,0,0,0,78,1,1,1,0.0,0.0,0.1,3,0,55,69,79.7,8,39,6,0,0
Greg Cunningham,18,ie IRL,LB,27-283,90,0,0,0,0,0,0,1,0,59,2,1,0,0.0,0.0,0.0,5,0,43,54,79.6,9,28,2,0,0
Sol Bamba,22,ci CIV,CB,33-301,90,1,0,0,0,2,1,0,0,47,3,2,1,0.8,0.8,0.0,1,0,30,35,85.7,3,19,0,1,1
Sean Morrison,4,eng ENG,CB,27-306,69,0,0,0,0,0,0,0,0,45,0,2,0,0.0,0.0,0.0,0,0,37,43,86.0,1,15,0,0,0
Lee Peltier,2,eng ENG,RB,31-334,21,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,8,11,72.7,1,6,0,0,0
Bruno Ecuele Manga,5,ga GAB,"RB,CB",30-117,90,0,0,0,0,1,0,0,0,73,0,3,2,0.1,0.1,0.2,4,0,51,67,76.1,6,47,0,2,2
Neil Etheridge,1,ph PHI,GK,28-276,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,12,33,36.4,0,20,0,0,0
