player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Glenn Murray,17,eng ENG,FW,35-165,90,1,0,0,0,1,1,1,0,36,1,0,0,0.1,0.1,0.0,0,0,16,26,61.5,1,22,0,2,0
Alireza Jahanbakhsh,16,ir IRN,LW,25-210,89,0,0,0,0,2,1,0,0,51,3,1,4,0.1,0.1,0.0,1,0,24,33,72.7,0,25,0,5,1
Jürgen Locadia,9,cw CUW,LW,25-122,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Anthony Knockaert,11,fr FRA,RW,27-109,74,1,0,0,0,1,1,1,0,41,2,1,0,0.0,0.0,0.0,0,0,26,34,76.5,3,21,3,1,0
Solly March,20,eng ENG,RW,24-232,16,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,6,8,75.0,0,5,1,1,0
Davy Pröpper,24,nl NED,CM,27-188,90,0,0,0,0,0,0,0,0,54,1,4,2,0.0,0.0,0.0,1,0,20,38,52.6,4,30,2,4,2
Dale Stephens,6,eng ENG,CM,29-270,90,0,1,0,0,0,0,0,0,67,7,3,1,0.0,0.0,0.1,2,1,39,46,84.8,4,28,1,0,0
Yves Bissouma,8,ml MLI,CM,22-191,90,0,0,0,0,0,0,0,0,59,0,2,0,0.0,0.0,0.0,0,0,31,41,75.6,4,38,4,3,0
Bernardo,30,br BRA,LB,23-299,90,0,0,0,0,0,0,1,0,71,5,2,2,0.0,0.0,0.0,0,0,38,50,76.0,2,20,1,0,0
Lewis Dunk,5,eng ENG,CB,27-108,90,0,1,0,0,0,0,0,0,41,1,1,4,0.0,0.0,0.1,3,2,23,28,82.1,2,16,0,0,0
Shane Duffy,4,ie IRL,CB,27-067,90,0,0,0,0,0,0,0,0,36,1,0,1,0.0,0.0,0.0,0,0,20,25,80.0,0,13,0,0,0
Martín Montoya,22,es ESP,RB,27-329,90,0,0,0,0,0,0,1,0,52,4,3,0,0.0,0.0,0.0,0,0,23,35,65.7,2,18,1,0,0
Mathew Ryan,1,au AUS,GK,26-335,90,0,0,0,0,0,0,1,0,24,0,0,0,0.0,0.0,0.0,0,0,10,22,45.5,0,9,0,0,0
