player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Aleksandar Mitrović,9,rs SRB,FW,24-050,90,0,0,0,0,5,0,1,0,47,2,0,0,0.3,0.3,0.0,1,0,18,30,60.0,0,24,1,3,2
André Schürrle,14,de GER,"FW,LW",27-364,90,0,0,0,0,1,0,0,0,51,0,0,2,0.0,0.0,0.0,2,0,31,41,75.6,1,28,2,4,1
Luciano Vietto,19,ar ARG,RW,24-335,45,0,0,0,0,1,1,0,0,21,2,1,0,0.1,0.1,0.0,0,0,9,15,60.0,0,9,1,0,0
Kevin McDonald,6,sct SCO,DM,30-001,19,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,10,14,71.4,0,8,0,0,0
Stefan Johansen,8,no NOR,DM,27-301,26,0,0,0,0,0,0,0,0,13,0,0,1,0.0,0.0,0.1,1,0,6,9,66.7,2,4,0,1,0
Jean Seri,24,ci CIV,"AM,LM",27-109,90,0,0,0,0,1,0,0,0,75,3,1,2,0.1,0.1,0.2,4,0,49,61,80.3,3,23,0,2,0
Andre-Frank Zambo Anguissa,29,cm CMR,"DM,CM",22-354,90,0,0,0,0,0,0,0,0,45,2,0,2,0.0,0.0,0.0,0,0,25,35,71.4,2,13,0,1,1
Tom Cairney,10,sct SCO,"AM,RM",27-289,90,0,0,0,0,0,0,0,0,66,0,0,2,0.0,0.0,0.0,3,0,51,60,85.0,2,41,0,4,3
Ryan Sessegnon,3,eng ENG,LB,18-171,90,0,0,0,0,0,0,0,0,88,0,2,3,0.0,0.0,0.0,1,0,42,73,57.5,4,29,3,7,3
Maxime Le Marchand,20,fr FRA,CB,29-025,90,0,0,0,0,0,0,0,0,71,5,1,0,0.0,0.0,0.0,0,0,37,55,67.3,4,27,0,0,0
Denis Odoi,4,gh GHA,CB,30-162,90,0,0,0,0,0,0,0,0,47,2,1,2,0.0,0.0,0.1,2,0,33,38,86.8,2,21,0,2,2
Timothy Fosu-Mensah,21,nl NED,RB,20-307,45,0,0,0,0,0,0,1,0,29,1,1,0,0.0,0.0,0.0,0,0,20,26,76.9,3,13,2,1,1
Cyrus Christie,22,ie IRL,RB,26-036,45,0,0,0,0,0,0,0,0,52,0,0,0,0.0,0.0,0.0,0,0,37,50,74.0,3,21,5,2,0
Sergio Rico,25,es ESP,GK,25-065,90,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,1,0,26,46,56.5,0,25,0,0,0
