player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Aleksandar Mitrović,9,rs SRB,FW,24-174,90,0,0,0,0,2,1,0,0,44,0,0,0,0.1,0.1,0.0,2,0,31,35,88.6,3,22,0,2,1
Ryan Sessegnon,3,eng ENG,LW,18-295,45,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,0,0,4,13,30.8,0,7,0,2,1
Floyd Ayité,11,tg TOG,RW,30-084,45,1,0,0,0,1,1,0,0,30,0,2,0,0.1,0.1,0.0,3,1,17,24,70.8,4,18,2,2,2
Ryan Babel,12,nl NED,"RW,LW",32-080,66,0,0,0,0,1,0,1,0,35,1,2,3,0.0,0.0,0.0,0,0,14,24,58.3,2,24,4,0,0
Jean Seri,24,ci CIV,"AM,DM",27-233,24,0,0,0,0,0,0,0,0,31,1,0,0,0.0,0.0,0.0,1,0,23,29,79.3,1,14,2,1,1
Tom Cairney,10,sct SCO,"LM,LW,AM",28-048,90,0,0,0,0,1,0,0,0,59,1,0,0,0.0,0.0,0.1,2,0,49,53,92.5,8,34,2,2,1
Kevin McDonald,6,sct SCO,"CM,DM",30-125,81,0,0,0,0,0,0,0,0,48,3,3,1,0.0,0.0,0.0,1,0,33,40,82.5,2,19,0,0,0
Luciano Vietto,19,ar ARG,AM,25-094,9,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,5,5,100.0,0,3,0,0,0
Calum Chambers,5,eng ENG,"DM,RM",24-048,90,0,0,0,0,0,0,0,0,45,4,1,0,0.0,0.0,0.0,0,0,34,38,89.5,3,18,1,0,0
Joe Bryan,23,eng ENG,LB,25-173,90,0,0,0,0,1,1,1,0,73,6,3,4,0.0,0.0,0.0,1,0,41,55,74.5,3,27,4,1,1
Tim Ream,13,us USA,CB,31-155,90,0,0,0,0,0,0,0,0,55,1,1,1,0.0,0.0,0.0,0,0,45,51,88.2,4,26,0,1,1
Håvard Nordtveit,16,no NOR,CB,28-261,90,0,1,0,0,0,0,0,0,55,3,2,0,0.0,0.0,0.1,1,1,41,45,91.1,1,24,0,0,0
Denis Odoi,4,gh GHA,RB,30-286,90,0,0,0,0,0,0,0,0,73,5,5,0,0.0,0.0,0.0,0,0,43,54,79.6,6,15,0,1,1
Sergio Rico,25,es ESP,GK,25-189,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,22,39,56.4,0,11,0,0,0
