player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Adama Traoré,37,es ESP,FW,22-318,59,0,0,0,0,0,0,0,0,21,0,0,1,0.0,0.0,0.0,1,0,8,12,66.7,1,13,2,2,2
Morgan Gibbs-White,17,eng ENG,"RW,CM",18-316,31,0,0,0,0,1,0,0,0,20,0,0,0,0.0,0.0,0.1,2,0,14,16,87.5,3,12,1,0,0
Diogo Jota,18,pt POR,LW,22-005,90,1,0,0,0,2,2,1,0,37,0,0,1,0.7,0.7,0.1,4,1,16,25,64.0,3,26,6,1,0
Hélder Costa,10,ao ANG,RW,24-331,75,0,1,0,0,0,0,1,0,27,0,0,0,0.0,0.0,0.8,4,1,13,22,59.1,2,16,1,3,1
João Moutinho,28,pt POR,CM,32-092,15,0,0,0,0,0,0,0,0,23,1,0,2,0.0,0.0,0.1,3,0,19,19,100.0,3,12,1,0,0
Rúben Vinagre,29,pt POR,LM,19-244,90,0,0,0,0,0,0,0,0,68,1,1,2,0.0,0.0,0.0,3,0,38,55,69.1,5,25,3,1,1
Rúben Neves,8,pt POR,CM,21-271,90,0,0,0,0,2,1,0,0,71,3,2,2,0.1,0.1,0.0,1,0,46,56,82.1,6,41,0,0,0
Romain Saïss,27,ma MAR,CM,28-258,59,0,0,0,0,0,0,0,0,36,2,1,0,0.0,0.0,0.0,0,0,25,30,83.3,2,12,0,0,0
Raúl Jiménez,9,mx MEX,FW,27-218,31,0,0,0,0,3,1,0,0,13,0,0,1,0.2,0.2,0.0,0,0,5,8,62.5,1,6,2,0,0
Matt Doherty,2,ie IRL,RM,26-327,90,1,0,0,0,3,2,1,0,59,2,2,3,0.6,0.6,0.0,3,1,29,38,76.3,2,25,0,2,0
Willy Boly,15,ci CIV,CB,27-309,90,0,0,0,0,1,0,0,0,61,0,1,0,0.1,0.1,0.0,0,0,39,49,79.6,3,31,0,0,0
Conor Coady,16,eng ENG,CB,25-287,90,0,0,0,0,0,0,1,0,58,0,0,0,0.0,0.0,0.0,1,0,41,50,82.0,3,35,0,0,0
Ryan Bennett,5,eng ENG,CB,28-278,90,0,0,0,0,1,0,1,0,72,4,0,0,0.1,0.1,0.0,2,0,48,62,77.4,3,31,0,0,0
Rui Patrício,11,pt POR,GK,30-297,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,18,24,75.0,0,8,0,0,0
