player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Álvaro Morata,29,es ESP,FW,26-032,57,0,0,0,0,2,0,0,0,20,0,0,0,0.1,0.1,0.0,2,0,11,13,84.6,0,13,1,0,0
Pedro,11,es ESP,RW,31-119,33,0,0,0,0,2,0,0,0,17,0,1,0,0.1,0.1,0.0,1,0,12,14,85.7,2,16,0,1,1
Eden Hazard,10,be BEL,"LW,FW",27-321,90,0,0,0,0,2,1,1,0,59,0,3,1,0.1,0.1,0.1,7,1,31,43,72.1,4,40,4,5,4
Willian,22,br BRA,"RW,LW",30-107,75,0,0,0,0,3,0,0,0,65,3,0,1,0.2,0.2,0.1,4,0,38,53,71.7,9,46,5,4,4
Olivier Giroud,18,fr FRA,FW,32-055,15,1,0,0,0,1,1,0,0,7,0,0,0,0.3,0.3,0.0,0,0,1,4,25.0,0,3,0,0,0
Mateo Kovačić,17,hr CRO,LM,24-202,57,0,0,0,0,1,0,0,0,55,1,1,0,0.1,0.1,0.0,1,0,42,47,89.4,4,42,1,3,2
Ross Barkley,8,eng ENG,LM,24-354,33,0,0,0,0,1,0,0,0,19,0,0,0,0.1,0.1,0.1,3,0,10,15,66.7,2,10,1,1,1
Jorginho,5,it ITA,CM,26-339,90,0,0,0,0,0,0,1,0,56,0,2,1,0.0,0.0,0.0,0,0,43,51,84.3,6,31,0,1,0
N'Golo Kanté,7,fr FRA,RM,27-240,90,0,0,0,0,0,0,0,0,60,2,7,3,0.0,0.0,0.1,1,0,40,50,80.0,4,30,1,1,0
Marcos Alonso,3,es ESP,LB,27-331,90,0,0,0,0,1,0,0,0,88,4,1,1,0.0,0.0,0.0,1,0,69,79,87.3,8,56,3,2,1
David Luiz,30,br BRA,CB,31-216,90,0,0,0,0,0,0,0,0,76,2,3,1,0.0,0.0,0.0,1,0,56,67,83.6,5,43,2,1,1
Antonio Rüdiger,2,de GER,CB,25-266,90,0,0,0,0,0,0,1,0,69,1,1,2,0.0,0.0,0.0,0,0,55,63,87.3,3,35,0,0,0
César Azpilicueta,28,es ESP,RB,29-088,90,0,1,0,0,0,0,0,0,79,2,3,2,0.0,0.0,0.4,4,1,60,69,87.0,3,37,2,1,1
Kepa Arrizabalaga,1,es ESP,GK,24-052,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,28,32,87.5,0,17,0,0,0
