player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Roberto Firmino,9,br BRA,"FW,AM",27-125,74,0,0,0,0,1,1,0,0,49,0,0,0,0.1,0.1,0.0,1,0,32,42,76.2,4,37,1,3,3
Divock Origi,27,be BEL,AM,23-292,16,0,0,0,0,1,1,0,0,9,1,0,0,0.1,0.1,0.0,1,0,5,6,83.3,0,7,1,0,0
Sadio Mané,10,sn SEN,LW,26-300,90,1,0,0,0,2,2,0,0,58,4,0,1,0.6,0.6,0.0,3,0,32,43,74.4,3,45,3,3,1
Mohamed Salah,11,eg EGY,"RW,FW",26-234,90,0,0,0,0,4,2,0,0,42,0,0,0,0.2,0.2,0.0,2,0,26,32,81.3,1,34,4,3,2
Naby Keïta,8,gn GUI,"LM,DM",23-359,90,0,0,0,0,1,0,0,0,89,0,0,0,0.0,0.0,0.1,1,0,76,84,90.5,8,75,9,6,4
Fabinho,3,br BRA,"CM,DM",25-104,90,0,0,0,0,0,0,0,0,108,2,0,2,0.0,0.0,0.0,1,0,92,102,90.2,6,74,3,0,0
Adam Lallana,20,eng ENG,RM,30-270,68,0,0,0,0,1,0,0,0,49,1,0,1,0.0,0.0,0.1,5,1,31,40,77.5,3,33,3,2,2
Xherdan Shaqiri,23,ch SUI,RW,27-117,22,0,0,0,0,0,0,0,0,39,1,0,0,0.0,0.0,0.0,1,0,27,32,84.4,0,29,0,1,0
Andrew Robertson,26,sct SCO,LB,24-330,90,0,0,0,0,1,0,0,0,89,2,1,1,0.0,0.0,0.0,0,0,60,82,73.2,4,51,3,0,0
Virgil van Dijk,4,nl NED,CB,27-211,90,0,0,0,0,0,0,0,0,97,1,1,1,0.0,0.0,0.0,0,0,71,88,80.7,9,69,1,2,2
Joël Matip,32,cm CMR,CB,27-180,90,0,0,0,0,0,0,1,0,93,0,1,1,0.0,0.0,0.0,0,0,75,83,90.4,6,72,6,0,0
James Milner,7,eng ENG,RB,33-031,90,0,1,0,0,0,0,0,0,98,4,0,1,0.0,0.0,0.8,5,1,73,88,83.0,7,63,2,0,0
Alisson,13,br BRA,GK,26-125,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,22,24,91.7,0,11,0,0,0
