player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Pierre-Emerick Aubameyang,14,ga GAB,FW,30-137,90,1,0,0,0,3,2,0,0,35,0,0,2,0.4,0.4,0.0,2,0,16,25,64.0,1,24,6,0,0
Alexandre Lacazette,9,fr FRA,FW,28-158,59,0,1,0,0,2,1,0,0,36,1,1,0,0.2,0.2,0.5,2,0,21,28,75.0,3,24,1,2,1
Gabriel Martinelli,35,br BRA,"RW,FW",18-137,31,0,0,0,0,0,0,0,0,8,0,0,1,0.0,0.0,0.0,0,0,3,5,60.0,0,6,1,1,1
Mesut Özil,10,de GER,AM,31-018,90,0,0,0,0,0,0,0,0,106,0,0,1,0.0,0.0,0.1,7,0,87,100,87.0,12,61,4,1,1
Dani Ceballos,8,es ESP,"LM,DM",23-087,90,0,0,0,0,1,0,0,0,76,4,1,2,0.1,0.1,0.1,2,0,58,66,87.9,9,47,2,4,3
Mattéo Guendouzi,29,fr FRA,"CM,DM",20-202,90,0,0,0,0,0,0,0,0,99,3,2,3,0.0,0.0,0.0,0,0,72,82,87.8,5,54,2,3,1
Lucas Torreira,11,uy URU,RM,23-264,72,0,0,0,0,2,1,0,0,33,1,0,3,0.1,0.1,0.0,1,0,23,25,92.0,1,13,0,0,0
Bukayo Saka,77,eng ENG,LW,18-058,18,0,0,0,0,0,0,0,0,16,2,0,0,0.0,0.0,0.0,0,0,8,12,66.7,3,8,0,0,0
Kieran Tierney,3,sct SCO,LB,22-150,86,0,0,0,0,0,0,0,0,65,2,2,1,0.0,0.0,0.0,1,0,40,53,75.5,2,24,3,1,1
Sead Kolašinac,31,ba BIH,LB,26-135,4,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,3,4,75.0,1,2,0,0,0
David Luiz,23,br BRA,CB,32-194,90,0,0,0,0,0,0,0,0,49,0,0,3,0.0,0.0,0.0,0,0,35,43,81.4,1,27,1,0,0
Sokratis Papastathopoulos,5,gr GRE,CB,31-146,90,0,0,0,0,1,0,0,0,65,1,0,6,0.0,0.0,0.0,1,0,44,50,88.0,4,30,0,0,0
Calum Chambers,21,eng ENG,RB,24-286,90,0,0,0,0,1,0,0,0,93,1,1,3,0.0,0.0,0.0,1,0,63,79,79.7,7,44,4,3,2
Bernd Leno,1,de GER,GK,27-243,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,24,29,82.8,0,17,0,0,0
