player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Dele Alli,20,eng ENG,"AM,FW",23-331,90,1,0,1,1,2,0,0,0,56,1,1,3,0.9,0.1,0.0,1,0,27,40,67.5,2,38,4,3,0
Steven Bergwijn,23,nl NED,"LW,AM",22-151,90,0,0,0,0,1,0,1,0,43,1,0,1,0.0,0.0,0.0,4,0,29,32,90.6,3,31,1,2,0
Érik Lamela,11,ar ARG,"AM,FW",28-003,77,0,0,0,0,1,1,1,0,32,0,0,0,0.1,0.1,0.1,3,1,19,25,76.0,2,22,4,2,1
Serge Aurier,24,ci CIV,RW,27-074,13,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.1,2,0,5,6,83.3,3,5,1,0,0
Tanguy Ndombele,28,fr FRA,CM,23-070,45,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,27,32,84.4,1,23,1,3,2
Giovani Lo Celso,18,ar ARG,DM,23-333,45,0,0,0,0,2,0,1,0,52,1,0,0,0.1,0.1,0.0,5,1,33,48,68.8,4,33,4,1,0
Oliver Skipp,29,eng ENG,CM,19-173,45,0,0,0,0,0,0,0,0,23,1,0,1,0.0,0.0,0.0,0,0,18,20,90.0,4,13,0,0,0
Lucas Moura,27,br BRA,"RW,FW",27-207,45,0,0,0,0,1,0,0,0,23,1,0,0,0.0,0.0,0.1,3,0,11,20,55.0,2,19,3,2,2
Jan Vertonghen,5,be BEL,"LB,WB",32-318,90,0,0,0,0,1,0,0,0,79,2,2,1,0.0,0.0,0.0,1,0,46,70,65.7,4,43,0,0,0
Japhet Tanganga,39,eng ENG,"RB,WB",20-342,90,0,0,0,0,2,0,0,0,60,3,1,2,0.0,0.0,0.1,2,0,34,45,75.6,5,23,1,3,3
Toby Alderweireld,4,be BEL,CB,31-005,90,0,0,0,0,2,0,0,0,73,1,1,1,0.0,0.0,0.0,2,0,41,53,77.4,3,35,0,0,0
Eric Dier,15,eng ENG,"DM,CB",26-052,90,0,0,0,0,0,0,0,0,67,2,0,2,0.0,0.0,0.0,1,0,41,58,70.7,2,39,0,1,1
Davinson Sánchez,6,co COL,CB,23-269,90,0,0,0,0,0,0,1,0,60,1,3,1,0.0,0.0,0.0,0,0,32,44,72.7,2,29,0,0,0
Hugo Lloris,1,fr FRA,GK,33-072,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,17,32,53.1,0,21,0,0,0
