player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Callum Robinson,11,ie IRL,FW,24-197,55,0,0,0,0,2,0,0,0,25,1,0,0,0.2,0.2,0.0,2,0,10,15,66.7,1,10,1,1,0
Oliver McBurnie,9,sct SCO,FW,23-075,35,0,0,0,0,2,0,0,0,25,0,1,3,0.5,0.5,0.0,0,0,3,10,30.0,1,11,0,1,1
David McGoldrick,17,ie IRL,FW,31-262,88,0,0,0,0,2,1,0,0,35,3,0,2,0.6,0.6,0.0,1,0,15,20,75.0,1,18,1,4,1
Phil Jagielka,15,eng ENG,CB,37-001,2,0,0,0,0,0,0,0,0,6,0,1,0,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,0,0
John Fleck,4,sct SCO,CM,27-359,28,0,0,0,0,1,0,0,0,17,0,0,0,0.0,0.0,0.1,2,0,11,16,68.8,3,9,0,1,1
Luke Freeman,8,eng ENG,"CM,FW",27-149,62,0,0,0,0,1,0,1,0,39,1,3,0,0.0,0.0,0.1,1,0,15,23,65.2,4,14,3,2,0
Oliver Norwood,16,nir NIR,"CM,DM",28-128,90,0,0,0,0,1,0,0,0,61,2,1,1,0.0,0.0,0.7,8,0,43,55,78.2,8,28,0,0,0
John Lundstram,7,eng ENG,"CM,DM",25-181,90,1,0,0,0,2,1,1,0,67,4,2,1,0.5,0.5,0.6,2,0,39,45,86.7,8,27,1,2,0
Enda Stevens,3,ie IRL,WB,29-040,90,0,0,0,0,1,0,0,0,69,4,1,0,0.1,0.1,0.0,4,1,44,58,75.9,3,27,2,5,4
George Baldock,2,gr GRE,WB,26-162,90,0,0,0,0,0,0,1,0,56,2,2,1,0.0,0.0,0.0,2,0,30,40,75.0,1,23,3,4,2
Jack O'Connell,5,eng ENG,CB,25-142,90,0,0,0,0,3,1,0,0,63,0,0,1,0.2,0.2,0.0,1,1,33,43,76.7,3,25,1,0,0
John Egan,12,ie IRL,CB,26-302,90,0,0,0,0,0,0,0,0,32,0,1,1,0.0,0.0,0.0,0,0,24,27,88.9,2,15,0,0,0
Chris Basham,6,eng ENG,"CB,DM",31-029,90,0,0,0,0,0,0,0,0,48,3,2,2,0.0,0.0,0.0,1,0,23,32,71.9,3,20,0,0,0
Dean Henderson,1,eng ENG,GK,22-159,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,16,24,66.7,0,16,0,0,0
