player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Raúl Jiménez,9,mx MEX,FW,29-050,89,1,0,0,0,1,1,0,0,33,0,1,0,0.1,0.1,0.0,0,0,22,26,84.6,4,23,2,1,0
Daniel Podence,10,pt POR,FW,24-247,1,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0
Diogo Jota,18,pt POR,LW,23-203,61,0,0,0,0,0,0,0,0,30,2,0,2,0.0,0.0,0.0,3,0,16,20,80.0,0,26,2,1,0
Pedro Neto,7,pt POR,LW,20-107,29,0,0,0,0,2,0,0,0,18,0,0,0,0.5,0.5,0.0,2,0,10,12,83.3,0,15,2,3,3
Adama Traoré,37,es ESP,RW,24-151,72,0,1,0,0,1,0,0,0,28,0,0,0,0.0,0.0,0.1,3,1,13,21,61.9,0,22,7,6,3
Leander Dendoncker,32,be BEL,RW,25-070,18,0,0,0,0,1,0,0,0,13,0,1,0,0.0,0.0,0.0,0,0,4,9,44.4,1,4,0,0,0
Jonny Castro,19,es ESP,LM,26-113,90,0,0,0,0,0,0,0,0,50,3,3,2,0.0,0.0,0.0,0,0,33,38,86.8,1,27,5,2,2
João Moutinho,28,pt POR,CM,33-290,89,0,0,0,0,0,0,1,0,54,2,0,1,0.0,0.0,0.9,3,0,34,46,73.9,4,30,1,0,0
Morgan Gibbs-White,17,eng ENG,CM,20-149,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,1,0
Rúben Neves,8,pt POR,CM,23-103,90,0,0,0,0,3,0,1,0,64,0,0,3,0.1,0.1,0.0,2,0,40,56,71.4,4,36,1,0,0
Matt Doherty,2,ie IRL,RM,28-160,90,0,0,0,0,1,0,0,0,69,4,2,1,0.8,0.8,0.1,2,1,42,60,70.0,3,30,1,0,0
Romain Saïss,27,ma MAR,CB,30-090,90,0,0,0,0,0,0,1,0,67,1,2,2,0.0,0.0,0.4,1,0,40,50,80.0,2,37,0,0,0
Conor Coady,16,eng ENG,CB,27-120,90,0,0,0,0,0,0,0,0,54,0,0,1,0.0,0.0,0.0,0,0,49,50,98.0,1,44,0,0,0
Willy Boly,15,ci CIV,CB,29-142,90,0,0,0,0,1,1,0,0,74,2,1,1,0.1,0.1,0.0,0,0,58,63,92.1,6,45,1,0,0
Rui Patrício,11,pt POR,GK,32-130,90,0,0,0,0,0,0,0,0,19,0,0,1,0.0,0.0,0.0,0,0,13,18,72.2,0,13,0,0,0
