player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Ayoze Pérez,17,es ESP,FW,27-186,90,0,0,0,0,3,2,0,0,59,0,0,2,0.6,0.6,0.3,6,0,33,39,84.6,3,38,1,6,2
Harvey Barnes,15,eng ENG,LW,23-053,90,1,0,0,0,2,1,0,0,43,2,0,0,0.1,0.1,0.4,5,1,19,25,76.0,4,30,4,3,0
Marc Albrighton,11,eng ENG,RW,31-074,45,0,0,0,0,3,2,0,0,28,0,0,1,0.4,0.4,0.0,4,0,11,18,61.1,3,20,2,8,4
Çağlar Söyüncü,4,tr TUR,CB,24-253,45,0,0,0,0,1,0,0,0,27,0,0,0,0.1,0.1,0.2,1,0,17,24,70.8,3,14,0,0,0
James Maddison,10,eng ENG,"AM,RW",24-069,90,0,1,0,0,2,0,0,0,47,0,0,0,0.1,0.1,0.1,3,1,22,40,55.0,6,25,0,2,0
Nampalys Mendy,24,sn SEN,"DM,CM",28-222,90,0,0,0,0,1,1,0,0,47,1,1,0,0.0,0.0,0.0,3,0,31,37,83.8,8,30,0,1,0
Youri Tielemans,8,be BEL,"DM,CM",23-269,90,0,0,0,0,1,1,0,0,68,2,0,1,0.0,0.0,0.1,3,0,41,59,69.5,5,39,1,4,3
James Justin,2,eng ENG,"LB,LM",22-343,90,0,0,0,0,1,0,0,0,58,4,7,2,0.1,0.1,0.0,1,0,28,38,73.7,2,25,0,2,0
Jonny Evans,6,nir NIR,CB,33-028,90,0,0,0,0,1,0,0,0,74,2,2,1,0.2,0.2,0.0,1,0,50,68,73.5,6,49,1,0,0
Wesley Fofana,3,fr FRA,CB,20-045,79,0,0,0,0,1,0,0,0,36,1,3,0,0.2,0.2,0.0,1,0,17,26,65.4,1,21,1,0,0
Cengiz Ünder,19,tr TUR,RW,23-201,11,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,0,10,1,3,2
Timothy Castagne,27,be BEL,RB,25-057,36,0,0,0,0,0,0,0,0,22,1,1,2,0.0,0.0,0.0,1,0,15,17,88.2,0,9,0,0,0
Ricardo Pereira,21,pt POR,"RM,RB",27-117,54,0,0,0,0,1,1,0,0,22,2,0,2,0.0,0.0,0.0,2,0,7,11,63.6,0,9,0,2,1
Kasper Schmeichel,1,dk DEN,GK,34-087,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,32,39,82.1,0,30,0,0,0
