player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Daniel Podence,10,pt POR,"FW,AM",24-329,75,0,1,0,0,0,0,0,0,30,1,0,0,0.0,0.0,0.3,4,2,19,27,70.4,3,21,2,2,2
Rúben Neves,8,pt POR,AM,23-185,15,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,1,0,7,8,87.5,1,4,0,0,0
Pedro Neto,7,pt POR,LW,20-189,68,0,1,0,0,0,0,0,0,34,0,2,0,0.0,0.0,0.1,1,1,20,26,76.9,1,17,3,2,1
Oskar Buur,59,dk DEN,WB,22-167,22,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,14,15,93.3,0,8,1,0,0
Raúl Jiménez,9,mx MEX,"RW,FW",29-132,90,1,0,0,0,5,2,0,0,60,0,1,0,1.0,1.0,0.0,3,1,33,42,78.6,3,38,5,3,1
Fernando Marçal,5,br BRA,"LM,WB",31-208,90,0,0,0,0,0,0,1,0,51,0,2,2,0.0,0.0,0.0,1,0,31,39,79.5,0,25,1,3,2
João Moutinho,28,pt POR,CM,34-006,85,0,0,0,0,0,0,0,0,55,2,1,0,0.0,0.0,0.2,4,0,40,49,81.6,1,28,0,1,0
Vitinha,20,pt POR,CM,20-214,5,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,5,5,100.0,0,2,0,1,1
Leander Dendoncker,32,be BEL,CM,25-152,90,0,0,0,0,0,0,0,0,45,3,1,0,0.0,0.0,0.1,1,0,28,35,80.0,2,16,0,0,0
Adama Traoré,37,es ESP,"RM,FW",24-233,90,0,0,0,0,3,0,0,0,55,3,1,1,0.1,0.1,0.0,2,0,23,37,62.2,2,19,8,10,7
Romain Saïss,27,ma MAR,CB,30-172,90,1,0,0,0,3,2,0,0,65,0,1,3,0.5,0.5,0.0,2,0,40,45,88.9,1,23,0,0,0
Conor Coady,16,eng ENG,CB,27-202,90,0,0,0,0,0,0,0,0,49,3,2,0,0.0,0.0,0.0,0,0,28,36,77.8,0,22,0,0,0
Willy Boly,15,ci CIV,CB,29-224,90,0,0,0,0,0,0,0,0,56,2,2,0,0.0,0.0,0.0,0,0,29,44,65.9,1,21,0,0,0
Rui Patrício,11,pt POR,GK,32-212,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,17,24,70.8,0,11,0,0,0
