player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Ollie Watkins,11,eng ENG,FW,25-262,90,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.1,1,0,11,17,64.7,1,15,1,1,0
Danny Ings,20,eng ENG,FW,29-057,90,0,1,0,0,1,0,0,0,30,1,0,4,0.1,0.1,0.1,2,2,11,15,73.3,2,20,2,3,2
John McGinn,7,sct SCO,CM,26-335,39,0,0,0,0,2,0,0,0,29,1,1,0,0.1,0.1,0.0,2,0,14,17,82.4,5,15,0,4,2
Marvelous Nakamba,19,zw ZIM,CM,27-242,51,0,0,0,0,0,0,0,0,27,0,2,1,0.0,0.0,0.0,0,0,20,21,95.2,3,16,0,1,1
Douglas Luiz,6,br BRA,CM,23-132,90,0,1,0,0,1,0,0,0,51,3,1,0,0.0,0.0,0.3,8,1,29,39,74.4,5,28,2,5,2
Jacob Ramsey,41,eng ENG,"CM,LM",20-113,90,0,0,0,0,2,0,0,0,41,1,1,1,0.1,0.1,0.1,5,0,28,31,90.3,7,33,4,4,2
Matt Targett,3,eng ENG,LB,26-000,60,0,0,0,0,0,0,0,0,47,2,0,1,0.0,0.0,0.1,1,0,27,42,64.3,7,33,1,0,0
Leon Bailey,31,jm JAM,LB,24-040,21,1,0,0,0,1,1,1,0,10,0,0,0,0.1,0.1,0.0,1,0,4,7,57.1,1,7,2,0,0
Ashley Young,18,eng ENG,LB,36-071,9,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,8,9,88.9,0,8,0,1,0
Tyrone Mings,5,eng ENG,CB,28-189,90,0,0,0,0,2,1,0,0,73,0,2,3,0.2,0.2,0.1,1,0,47,63,74.6,9,44,0,1,1
Axel Tuanzebe,16,cd COD,CB,23-308,90,0,0,0,0,1,0,0,0,52,0,0,1,0.1,0.1,0.0,1,0,41,46,89.1,2,36,0,0,0
Ezri Konsa,4,eng ENG,"CB,RB",23-330,90,0,0,0,0,0,0,0,0,45,0,1,0,0.0,0.0,0.0,1,0,30,40,75.0,4,25,1,0,0
Matty Cash,2,pl POL,RB,24-042,85,1,0,0,0,3,1,0,0,47,1,1,2,0.2,0.2,0.0,3,1,22,35,62.9,2,27,3,4,2
Bertrand Traoré,15,bf BFA,RM,26-012,5,0,0,0,0,2,0,0,0,10,0,0,0,0.1,0.1,0.0,0,0,2,5,40.0,0,6,0,2,1
Emiliano Martínez,1,ar ARG,GK,29-016,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,1,0,38,42,90.5,0,27,0,0,0
