player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Cristiano Ronaldo,7,pt POR,FW,36-348,70,0,0,0,0,3,0,0,0,33,1,0,1,0.1,0.1,0.0,3,1,21,27,77.8,5,21,2,0,0
Harry Maguire,5,eng ENG,CB,28-320,20,0,0,0,0,0,0,0,0,11,1,0,1,0.0,0.0,0.0,0,0,3,8,37.5,1,3,0,0,0
Anthony Elanga,36,se SWE,LW,19-267,90,1,0,0,0,1,1,0,0,45,0,0,0,0.5,0.5,0.0,1,0,27,35,77.1,1,21,1,4,1
Mason Greenwood,11,eng ENG,RW,20-110,70,1,0,0,0,2,1,0,0,47,1,0,0,0.9,0.9,0.0,1,0,28,37,75.7,3,27,4,2,1
Marcus Rashford,10,eng ENG,RW,24-080,20,1,0,0,0,1,1,0,0,8,0,0,2,0.1,0.1,0.0,0,0,2,3,66.7,0,5,0,3,2
Bruno Fernandes,18,pt POR,"AM,FW",27-133,90,0,2,0,0,2,1,0,0,77,1,1,2,0.4,0.4,1.3,5,2,47,64,73.4,12,42,4,1,0
Scott McTominay,39,sct SCO,"DM,CM",25-042,83,0,0,0,0,1,1,0,0,58,2,2,0,0.0,0.0,0.0,4,1,42,47,89.4,6,43,6,7,6
Nemanja Matić,31,rs SRB,CM,33-171,7,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,4,6,66.7,0,2,1,1,1
Fred,17,br BRA,"DM,CM",28-320,90,0,1,0,0,1,0,0,0,77,5,2,0,0.0,0.0,0.9,3,1,52,62,83.9,6,36,2,4,2
Alex Telles,27,br BRA,"LB,LM",29-035,90,0,0,0,0,0,0,0,0,82,0,2,1,0.0,0.0,0.0,2,0,52,75,69.3,3,41,3,0,0
Raphaël Varane,19,fr FRA,CB,28-269,90,0,0,0,0,1,0,0,0,70,3,0,2,0.1,0.1,0.0,0,0,48,58,82.8,1,36,0,0,0
Victor Lindelöf,2,se SWE,CB,27-186,90,0,0,0,0,0,0,0,0,60,2,1,3,0.0,0.0,0.0,0,0,42,48,87.5,1,29,0,1,1
Diogo Dalot,20,pt POR,"RB,RM",22-307,90,0,0,0,0,1,0,0,0,79,3,4,0,0.0,0.0,0.0,3,1,48,63,76.2,6,36,1,0,0
David de Gea,1,es ESP,GK,31-073,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,11,26,42.3,0,17,0,0,0
