player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Harry Kane,10,eng ENG,FW,28-283,90,0,0,0,0,1,0,0,0,28,0,0,0,0.1,0.1,0.0,5,1,9,19,47.4,6,22,3,4,3
Son Heung-min,7,kr KOR,"LW,LM,FW",29-303,89,1,0,0,0,2,1,0,0,39,2,1,2,0.6,0.6,0.1,2,0,12,20,60.0,3,20,4,4,0
Steven Bergwijn,23,nl NED,FW,24-211,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,1,1
Dejan Kulusevski,21,se SWE,"RW,RM",22-012,84,0,0,0,0,1,1,0,0,35,0,0,0,0.0,0.0,0.0,2,0,19,25,76.0,1,22,2,8,3
Harry Winks,8,eng ENG,CM,26-094,6,0,0,0,0,0,0,0,0,4,2,0,0,0.0,0.0,0.0,0,0,3,3,100.0,1,2,0,0,0
Ryan Sessegnon,19,eng ENG,LM,21-354,77,0,1,0,0,0,0,1,0,45,5,0,2,0.0,0.0,0.6,2,1,17,32,53.1,1,21,4,0,0
Davinson Sánchez,6,co COL,CB,25-329,13,0,0,0,0,0,0,0,0,4,0,1,1,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Pierre Højbjerg,5,dk DEN,CM,26-275,90,0,0,0,0,1,0,0,0,60,1,4,1,0.0,0.0,0.1,3,0,40,44,90.9,4,33,0,1,1
Rodrigo Bentancur,30,uy URU,CM,24-316,90,0,0,0,0,1,1,0,0,51,3,2,1,0.1,0.1,0.0,1,0,26,32,81.3,4,29,0,0,0
Emerson,12,br BRA,"RM,RB",23-113,90,0,0,0,0,1,0,0,0,68,4,1,2,0.0,0.0,0.0,0,0,43,53,81.1,4,36,5,1,1
Ben Davies,33,wls WAL,"CB,LB",29-013,90,0,0,0,0,1,0,1,0,39,1,1,4,0.0,0.0,0.0,0,0,13,22,59.1,3,17,1,0,0
Eric Dier,15,eng ENG,CB,28-112,90,0,0,0,0,0,0,0,0,61,1,2,3,0.0,0.0,0.0,0,0,35,44,79.5,1,38,0,0,0
Cristian Romero,4,ar ARG,CB,24-010,90,0,0,0,0,0,0,0,0,68,1,1,2,0.0,0.0,0.0,0,0,39,53,73.6,1,44,1,1,0
Hugo Lloris,1,fr FRA,GK,35-132,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,25,33,75.8,0,17,0,0,0
