player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Alexandre Lacazette,9,fr FRA,FW,30-212,90,1,1,1,1,1,0,0,0,40,1,0,0,1.0,0.2,0.0,2,2,27,33,81.8,0,21,0,3,2
Gabriel Martinelli,35,br BRA,LW,20-191,81,0,0,0,0,3,1,0,0,45,3,1,1,0.1,0.1,0.0,4,2,21,29,72.4,2,31,4,5,3
Emile Smith Rowe,10,eng ENG,LW,21-151,9,1,0,0,0,1,1,0,0,7,0,0,0,0.7,0.7,0.0,1,1,5,5,100.0,1,5,0,1,0
Bukayo Saka,7,eng ENG,RW,20-112,77,2,0,0,0,3,2,0,0,51,1,0,2,0.2,0.2,0.4,3,0,29,39,74.4,2,30,1,1,1
Nicolas Pépé,19,ci CIV,RW,26-211,13,0,0,0,0,1,0,0,0,15,0,0,0,0.1,0.1,0.0,1,1,8,14,57.1,0,6,0,0,0
Martin Ødegaard,8,no NOR,AM,23-009,90,0,2,0,0,3,0,0,0,71,0,1,0,0.1,0.1,0.3,6,3,55,64,85.9,8,42,3,1,1
Granit Xhaka,34,ch SUI,DM,29-090,90,0,0,0,0,0,0,1,0,69,0,0,1,0.0,0.0,0.1,5,0,59,63,93.7,12,34,3,1,0
Thomas Partey,5,gh GHA,DM,28-196,74,0,0,0,0,1,0,1,0,74,0,0,0,0.1,0.1,0.1,4,0,63,69,91.3,6,41,0,3,2
Mohamed Elneny,25,eg EGY,DM,29-168,16,0,0,0,0,0,0,0,0,7,0,1,1,0.0,0.0,0.0,0,0,5,5,100.0,1,3,0,0,0
Kieran Tierney,3,sct SCO,LB,24-204,90,1,0,0,0,2,1,0,0,75,1,1,0,0.1,0.1,0.0,0,0,51,68,75.0,6,36,4,2,1
Gabriel Magalhães,6,br BRA,CB,24-007,90,0,0,0,0,0,0,0,0,78,2,1,0,0.0,0.0,0.0,0,0,65,70,92.9,1,51,0,0,0
Rob Holding,16,eng ENG,CB,26-097,90,0,0,0,0,0,0,0,0,69,2,1,1,0.0,0.0,0.0,0,0,51,59,86.4,2,38,0,1,0
Ben White,4,eng ENG,RB,24-079,90,0,0,0,0,0,0,0,0,78,3,2,0,0.0,0.0,0.0,0,0,50,71,70.4,7,42,0,2,1
Aaron Ramsdale,32,eng ENG,GK,23-226,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,27,32,84.4,0,25,0,0,0
