player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Anthony Gordon,10,eng ENG,"FW,LW",21-170,90,0,0,0,0,3,2,0,0,32,1,0,2,0.2,0.2,0.0,2,0,10,18,55.6,1,11,2,1,1
Demarai Gray,11,jm JAM,"LW,RW",26-046,80,0,0,0,0,2,1,0,0,35,0,0,0,0.2,0.2,0.0,2,0,19,22,86.4,3,19,2,4,1
Amadou Onana,8,be BEL,DM,20-362,10,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.0,0,0,4,6,66.7,1,5,1,3,2
Dwight McNeil,7,eng ENG,RW,22-264,63,0,0,0,0,2,0,0,0,29,1,1,1,0.1,0.1,0.1,3,0,16,21,76.2,1,13,0,4,1
Salomón Rondón,33,ve VEN,FW,32-331,27,0,0,0,0,1,1,0,0,8,0,0,0,0.5,0.5,0.1,2,0,5,7,71.4,1,3,0,0,0
Vitaliy Mykolenko,19,ua UKR,"LM,LB",23-076,90,0,0,0,0,0,0,0,0,61,0,2,2,0.0,0.0,0.1,4,0,35,53,66.0,4,33,2,1,0
Alex Iwobi,17,ng NGA,"CM,RW",26-102,90,0,0,0,0,0,0,0,0,57,4,0,0,0.0,0.0,0.2,4,0,40,49,81.6,2,30,0,1,0
Abdoulaye Doucouré,16,ml MLI,CM,29-224,34,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,8,11,72.7,0,4,0,0,0
Tom Davies,26,eng ENG,"CM,DM",24-044,56,0,0,0,0,1,0,1,0,33,2,0,0,0.2,0.2,0.0,1,0,24,27,88.9,6,11,0,0,0
Nathan Patterson,3,sct SCO,"RM,RB",20-301,90,0,0,0,0,2,0,0,0,42,1,1,3,0.1,0.1,0.0,1,0,14,27,51.9,0,14,1,2,1
James Tarkowski,2,eng ENG,CB,29-267,90,0,0,0,0,1,0,0,0,60,2,1,0,0.1,0.1,0.1,1,0,41,50,82.0,0,22,0,0,0
Conor Coady,30,eng ENG,CB,29-169,80,0,0,0,0,0,0,0,0,61,1,0,1,0.0,0.0,0.0,1,0,46,54,85.2,0,37,0,1,0
Dele Alli,20,eng ENG,AM,26-124,10,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0
Mason Holgate,4,eng ENG,CB,25-295,90,0,0,0,0,2,0,0,0,51,4,2,1,0.1,0.1,0.1,2,0,28,37,75.7,5,20,1,1,1
Jordan Pickford,1,eng ENG,GK,28-159,90,0,0,0,0,0,0,0,0,36,0,1,0,0.0,0.0,0.0,1,0,21,32,65.6,0,18,0,0,0
