player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Kamaldeen Sulemana,20,gh GHA,FW,21-102,85,2,0,0,0,5,3,0,0,23,1,1,0,0.6,0.6,0.1,5,2,6,12,50.0,1,11,3,3,2
Dominic Ballard,53,eng ENG,"LM,FW",18-057,5,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,4,0,1,0
Mohamed Elyounoussi,24,no NOR,LW,28-297,63,0,0,0,0,2,1,0,0,28,2,0,2,0.6,0.6,0.0,1,0,12,19,63.2,2,14,5,2,0
Stuart Armstrong,17,sct SCO,"DM,CM",31-059,27,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,1,0,5,8,62.5,0,5,1,1,1
Theo Walcott,32,eng ENG,RW,34-073,76,0,1,0,0,1,0,0,0,21,1,0,0,0.1,0.1,0.5,4,1,10,14,71.4,1,9,2,1,1
Valentino Livramento,21,eng ENG,"RB,RW",20-197,14,0,0,0,0,0,0,0,0,14,1,1,0,0.0,0.0,0.0,0,0,6,8,75.0,0,3,0,3,2
Carlos Alcaraz,26,ar ARG,"AM,CM",20-179,90,0,1,0,0,1,1,0,0,44,2,0,2,0.1,0.1,0.2,3,1,21,25,84.0,4,25,4,7,3
Roméo Lavia,45,be BEL,DM,19-142,62,0,0,0,0,0,0,0,0,35,3,1,3,0.0,0.0,0.0,3,1,19,22,86.4,2,15,0,1,0
Adam Armstrong,9,eng ENG,"LW,FW,DM",26-107,28,1,0,0,0,1,1,0,0,6,0,1,0,0.2,0.2,0.0,1,1,1,2,50.0,0,4,1,2,0
James Ward-Prowse,8,eng ENG,DM,28-208,86,1,0,0,0,2,2,0,0,44,2,2,3,0.2,0.2,0.0,3,0,29,33,87.9,1,16,0,0,0
Samuel Amo-Ameyaw,75,eng ENG,RM,16-314,4,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,5,6,83.3,1,4,2,4,3
Kyle Walker-Peters,2,eng ENG,LB,26-045,90,0,0,0,0,1,1,0,0,53,2,4,1,0.0,0.0,0.0,3,1,26,32,81.3,1,22,2,7,3
Lyanco,4,br BRA,CB,26-116,90,0,1,0,0,0,0,0,0,52,2,3,7,0.0,0.0,0.1,0,0,20,28,71.4,1,18,1,1,1
Jan Bednarek,35,pl POL,CB,27-046,90,0,0,0,0,1,0,0,0,44,3,2,1,0.0,0.0,0.0,0,0,24,28,85.7,0,17,0,0,0
James Bree,14,eng ENG,"RB,CB",25-229,90,0,0,0,0,1,1,0,0,37,1,1,1,0.0,0.0,0.0,0,0,22,27,81.5,0,13,0,1,1
Alex McCarthy,1,eng ENG,GK,33-176,90,0,0,0,0,0,0,0,0,38,0,1,0,0.0,0.0,0.0,0,0,17,36,47.2,0,19,0,0,0
