player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Jean-Philippe Mateta,14,fr FRA,FW,26-241,90,1,0,1,1,1,0,0,0,27,0,0,0,0.9,0.1,0.0,2,0,8,10,80.0,0,18,2,4,0
Odsonne Édouard,22,fr FRA,AM,26-039,65,0,0,0,0,4,1,0,0,28,0,0,0,0.4,0.4,0.0,1,0,11,21,52.4,3,9,2,1,1
Matheus França,11,br BRA,AM,19-329,25,0,1,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.5,2,2,3,7,42.9,1,6,2,2,0
Jordan Ayew,9,gh GHA,AM,32-166,89,1,1,0,0,1,1,1,0,63,3,0,2,0.5,0.5,0.5,8,1,33,52,63.5,4,34,6,5,3
David Ozoh,52,eng ENG,AM,18-269,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Jefferson Lerma,8,co COL,CM,29-122,90,0,0,0,0,3,1,0,0,76,2,0,2,0.1,0.1,0.0,4,0,50,61,82.0,7,27,1,1,1
Adam Wharton,20,eng ENG,CM,19-267,65,0,0,0,0,1,0,1,0,49,2,0,0,0.0,0.0,0.3,4,0,32,41,78.0,6,25,1,0,0
Naouirou Ahamada,29,fr FRA,CM,21-332,25,0,0,0,0,1,1,0,0,14,0,0,0,0.0,0.0,0.0,1,1,9,11,81.8,1,8,1,0,0
Tyrick Mitchell,3,eng ENG,WB,24-176,90,0,0,0,0,0,0,1,0,56,1,1,2,0.0,0.0,0.0,1,1,33,46,71.7,1,19,1,1,0
Daniel Muñoz,12,co COL,WB,27-274,90,0,0,0,0,2,0,0,0,72,2,1,3,0.3,0.3,0.0,3,0,47,60,78.3,5,32,3,2,2
Chris Richards,26,us USA,CB,23-333,90,1,0,0,0,1,1,0,0,70,3,1,0,0.1,0.1,0.0,0,0,59,64,92.2,4,41,0,0,0
Joachim Andersen,16,dk DEN,CB,27-269,89,0,0,0,0,0,0,0,0,86,0,2,0,0.0,0.0,0.0,0,0,63,80,78.8,6,48,0,1,0
James Tomkins,5,eng ENG,CB,34-332,1,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,1,0,0,0
Joel Ward,2,eng ENG,CB,34-118,90,0,0,0,0,0,0,0,0,61,0,0,0,0.0,0.0,0.0,1,0,46,58,79.3,5,33,1,0,0
Sam Johnstone,1,eng ENG,GK,30-336,90,0,0,0,0,0,0,0,0,22,0,1,0,0.0,0.0,0.0,0,0,10,21,47.6,0,15,0,0,0
