player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Beto,14,gw GNB,FW,25-229,65,0,0,0,0,0,0,0,0,17,0,0,3,0.0,0.0,0.1,1,0,6,9,66.7,0,8,0,1,0
Dominic Calvert-Lewin,9,eng ENG,FW,26-185,25,0,0,0,0,1,0,0,0,10,0,0,0,0.1,0.1,0.0,1,0,1,6,16.7,0,5,0,1,1
Dwight McNeil,7,eng ENG,LW,23-299,87,0,0,0,0,2,0,0,0,18,1,0,1,0.1,0.1,0.0,1,0,10,11,90.9,1,12,0,1,0
Youssef Chermiti,28,pt POR,LW,19-116,3,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,1,0
Arnaut Danjuma,10,nl NED,RW,26-229,90,0,0,0,0,2,0,0,0,17,1,1,1,0.1,0.1,0.0,1,0,8,10,80.0,0,7,1,0,0
Abdoulaye Doucouré,16,ml MLI,CM,30-259,79,0,0,0,0,0,0,0,0,25,4,0,1,0.0,0.0,0.0,3,0,11,17,64.7,1,16,2,2,1
James Garner,37,eng ENG,CM,22-188,11,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,2,0,0,0
Amadou Onana,8,be BEL,CM,22-032,90,0,0,0,0,0,0,0,0,30,2,0,0,0.0,0.0,0.0,3,0,21,26,80.8,2,19,0,0,0
Idrissa Gana Gueye,27,sn SEN,CM,33-356,90,0,0,0,0,2,1,0,0,26,2,2,0,0.1,0.1,0.1,2,0,14,19,73.7,1,21,3,0,0
Vitaliy Mykolenko,19,ua UKR,LB,24-111,90,0,0,0,0,1,0,0,0,37,5,1,1,0.0,0.0,0.0,0,0,17,24,70.8,1,15,0,1,0
Jarrad Branthwaite,32,eng ENG,CB,21-082,90,0,0,0,0,0,0,0,0,42,1,2,2,0.0,0.0,0.0,0,0,25,30,83.3,0,25,0,1,1
James Tarkowski,6,eng ENG,CB,30-302,90,0,0,0,0,0,0,0,0,35,1,1,3,0.0,0.0,0.0,0,0,17,26,65.4,1,14,0,0,0
Ashley Young,18,eng ENG,RB,38-070,86,0,0,0,0,0,0,1,0,33,1,2,0,0.0,0.0,0.0,0,0,15,27,55.6,2,16,0,0,0
Nathan Patterson,2,sct SCO,RB,21-336,4,0,0,0,0,0,0,0,0,3,1,1,0,0.0,0.0,0.1,2,0,2,2,100.0,1,1,0,0,0
Jordan Pickford,1,eng ENG,GK,29-194,90,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,1,0,22,45,48.9,0,26,0,0,0
