player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Rodrigo Muniz,19,br BRA,FW,22-303,83,1,1,0,0,2,1,0,0,17,1,0,0,0.1,0.1,0.2,1,0,3,7,42.9,0,11,1,2,0
Armando Broja,9,al ALB,FW,22-174,7,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,1,0
Alex Iwobi,22,ng NGA,LW,27-304,68,0,0,0,0,0,0,0,0,22,1,1,1,0.0,0.0,0.3,3,0,14,18,77.8,3,20,5,5,2
Willian,20,br BRA,LW,35-206,22,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,1,7,1,0,0
Harry Wilson,8,wls WAL,RW,26-346,83,1,1,0,0,4,1,0,0,34,1,2,2,0.4,0.4,0.1,4,1,14,20,70.0,1,18,2,1,0
Adama Traoré,11,es ESP,RW,28-037,7,1,0,0,0,1,1,0,0,4,1,0,0,0.4,0.4,0.0,0,0,1,2,50.0,0,2,1,0,0
Andreas Pereira,18,br BRA,AM,28-061,68,0,0,0,0,3,1,0,0,36,1,0,2,0.2,0.2,0.0,4,0,19,27,70.4,4,21,0,2,0
Tom Cairney,10,sct SCO,AM,33-042,22,0,0,0,0,0,0,0,0,13,2,0,0,0.0,0.0,0.0,0,0,6,12,50.0,0,11,0,0,0
Saša Lukić,28,rs SRB,DM,27-202,87,0,0,0,0,0,0,0,0,39,3,1,0,0.0,0.0,0.1,2,0,23,29,79.3,2,20,0,1,0
Bobby De Cordova-Reid,14,jm JAM,DM,31-029,3,0,1,0,0,0,0,1,0,3,1,0,0,0.0,0.0,0.4,2,2,3,3,100.0,0,2,1,0,0
Harrison Reed,6,eng ENG,DM,29-035,90,0,0,0,0,1,1,0,0,36,3,1,4,0.1,0.1,0.0,1,1,17,24,70.8,3,11,2,0,0
Antonee Robinson,33,us USA,LB,26-207,90,0,0,0,0,0,0,0,0,53,3,1,2,0.0,0.0,0.0,2,0,22,43,51.2,2,27,2,3,2
Calvin Bassey,3,ng NGA,CB,24-062,90,0,0,0,0,0,0,0,0,42,1,0,0,0.0,0.0,0.0,0,0,31,35,88.6,1,24,0,0,0
Tosin Adarabioyo,4,eng ENG,CB,26-160,90,0,0,0,0,1,0,0,0,51,5,0,0,0.0,0.0,0.0,0,0,27,38,71.1,2,23,0,0,0
Timothy Castagne,21,be BEL,RB,28-088,90,0,0,0,0,0,0,0,0,47,1,2,2,0.0,0.0,0.1,1,0,27,34,79.4,0,17,1,0,0
Bernd Leno,17,de GER,GK,31-364,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,24,42,57.1,0,34,0,0,0
