player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Cauley Woodrow,10,eng ENG,FW,29-078,67,0,0,0,0,2,1,1,0,27,1,0,0,0.2,0.2,0.0,2,0,18,22,81.8,0,19,1,0,0
Andros Townsend,30,eng ENG,FW,32-217,23,0,0,0,0,1,0,1,0,22,0,0,0,0.0,0.0,0.1,3,0,16,18,88.9,0,17,4,1,1
Tahith Chong,14,nl NED,AM,24-076,67,0,0,0,0,3,0,0,0,44,0,0,0,0.1,0.1,0.0,6,1,27,38,71.1,6,29,5,3,2
Jordan Clark,18,eng ENG,AM,30-149,23,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0,0,4,8,50.0,0,8,2,4,0
Carlton Morris,9,eng ENG,AM,28-064,90,1,0,0,0,4,1,0,0,43,1,0,1,0.7,0.7,0.2,4,0,18,31,58.1,2,25,2,4,2
Ross Barkley,6,eng ENG,CM,30-075,90,0,0,0,0,2,0,0,0,81,2,1,0,0.1,0.1,0.3,7,0,63,72,87.5,7,56,3,6,5
Albert Sambi Lokonga,28,be BEL,CM,24-119,90,0,0,0,0,1,0,0,0,85,0,1,7,0.0,0.0,0.1,4,0,69,72,95.8,10,60,2,1,1
Alfie Doughty,45,eng ENG,WB,24-059,81,0,0,0,0,2,0,0,0,76,1,0,1,0.2,0.2,0.3,3,0,45,70,64.3,3,42,6,1,0
Luke Berry,8,eng ENG,WB,31-221,9,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.1,1,0,1,6,16.7,0,1,0,0,0
Chiedozie Ogbene,7,ie IRL,WB,26-293,90,0,0,0,0,4,2,0,0,55,0,0,0,0.2,0.2,0.2,3,0,33,41,80.5,4,43,7,5,3
Amari'i Bell,29,jm JAM,CB,29-289,90,0,0,0,0,0,0,0,0,78,3,1,5,0.0,0.0,0.0,2,0,47,59,79.7,5,52,4,3,1
Gabriel Osho,2,ng NGA,CB,25-188,90,0,0,0,0,3,0,1,0,60,2,3,2,0.2,0.2,0.0,0,0,42,48,87.5,1,39,0,1,1
Teden Mengi,15,eng ENG,CB,21-294,90,0,0,0,0,0,0,0,0,64,1,2,0,0.0,0.0,0.1,5,0,47,57,82.5,7,39,0,1,1
Thomas Kaminski,24,be BEL,GK,31-118,90,0,0,0,0,0,0,0,0,48,2,0,0,0.0,0.0,0.0,0,0,36,44,81.8,0,30,0,1,1
