player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Pedro Neto,7,pt POR,FW,24-353,67,1,1,0,0,1,1,0,0,37,0,0,0,0.1,0.1,0.1,3,1,24,27,88.9,3,25,3,2,0
Tyrique George,32,eng ENG,"FW,LW",19-021,23,0,1,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0.5,3,1,12,12,100.0,0,10,4,0,0
Christopher Nkunku,18,fr FRA,LW,27-103,82,1,1,0,0,4,2,0,0,34,0,0,0,0.4,0.4,0.1,4,2,24,28,85.7,2,27,3,1,0
Joshua Acheampong,34,eng ENG,RB,18-296,8,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,1,0,11,11,100.0,1,9,0,0,0
Jadon Sancho,19,eng ENG,RW,24-337,67,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.4,4,0,33,39,84.6,4,31,4,2,1
Kiernan Dewsbury-Hall,22,eng ENG,"RW,AM",26-172,23,0,0,0,0,0,0,0,0,19,2,0,0,0.0,0.0,0.0,1,0,17,18,94.4,0,14,1,0,0
Cole Palmer,20,eng ENG,"AM,FW",22-295,90,0,0,0,0,7,3,0,0,62,0,1,0,1.3,1.3,0.1,4,0,40,48,83.3,4,41,0,3,2
Moisés Caicedo,25,ec ECU,DM,23-115,82,0,0,0,0,1,0,1,0,61,2,1,1,0.0,0.0,0.0,1,0,53,55,96.4,4,35,1,0,0
Mathis Amougou,39,fr FRA,DM,19-038,8,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,7,7,100.0,1,7,0,0,0
Enzo Fernández,8,ar ARG,DM,24-039,89,0,0,0,0,1,1,0,0,76,2,0,1,0.1,0.1,0.9,7,0,59,68,86.8,5,45,3,1,1
Shumaira Mheuka,76,eng ENG,DM,17-128,1,0,0,0,0,1,1,0,0,2,0,0,0,0.1,0.1,0.0,0,0,0,0,,0,1,0,0,0
Marc Cucurella,3,es ESP,LB,26-218,90,1,0,0,0,1,1,0,0,82,6,1,1,0.4,0.4,0.0,1,1,65,70,92.9,8,38,1,1,1
Levi Colwill,6,eng ENG,CB,21-365,90,1,0,0,0,1,1,0,0,93,2,2,2,0.1,0.1,0.0,1,0,78,82,95.1,5,64,1,0,0
Tosin Adarabioyo,4,eng ENG,CB,27-154,90,0,1,0,0,1,0,0,0,87,1,1,0,0.0,0.0,0.2,1,1,66,76,86.8,1,51,0,0,0
Malo Gusto,27,fr FRA,"RB,RW",21-282,90,0,0,0,0,0,0,0,0,78,2,1,0,0.0,0.0,0.0,1,1,64,71,90.1,8,59,2,0,0
Filip Jørgensen,12,dk DEN,GK,22-315,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,32,36,88.9,0,27,0,0,0
