player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Leandro Trossard,19,be BEL,FW,30-122,90,1,0,0,0,3,2,0,0,43,0,0,1,0.3,0.3,0.0,1,0,27,31,87.1,3,26,3,2,0
Raheem Sterling,30,eng ENG,LW,30-118,45,0,1,0,0,1,0,0,0,24,1,0,0,0.3,0.3,0.1,2,1,10,15,66.7,1,14,3,4,1
Gabriel Martinelli,11,br BRA,LW,23-291,45,0,0,0,0,1,1,0,0,25,1,0,0,0.0,0.0,0.0,4,0,14,19,73.7,5,17,3,2,1
Ethan Nwaneri,53,eng ENG,RW,18-015,45,0,0,0,0,0,0,0,0,23,1,0,0,0.0,0.0,0.1,2,0,9,12,75.0,1,12,1,2,0
Bukayo Saka,7,eng ENG,RW,23-212,45,0,0,0,0,2,0,0,0,17,1,0,0,0.1,0.1,0.2,2,0,6,10,60.0,0,9,2,3,1
Mikel Merino,23,es ESP,LM,28-287,90,0,0,0,0,2,0,0,0,49,3,0,0,0.1,0.1,0.0,1,0,28,34,82.4,4,18,0,3,1
Jorginho,20,it ITA,CM,33-106,70,0,0,0,0,0,0,1,0,47,2,0,1,0.0,0.0,0.0,3,0,38,41,92.7,5,27,1,1,0
Martin Ødegaard,8,no NOR,RM,26-109,20,0,0,0,0,1,0,0,0,10,0,0,0,0.2,0.2,0.0,0,0,8,9,88.9,1,8,1,0,0
Declan Rice,41,eng ENG,"RM,CM",26-081,90,0,0,0,0,2,1,0,0,53,4,2,1,0.3,0.3,0.0,1,0,26,35,74.3,2,18,0,1,0
Myles Lewis-Skelly,49,eng ENG,LB,18-191,74,0,0,0,0,0,0,0,0,42,1,0,0,0.0,0.0,0.1,4,0,29,37,78.4,3,23,3,6,3
Kieran Tierney,3,sct SCO,LB,27-304,16,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.3,3,0,15,18,83.3,3,8,1,0,0
Jakub Kiwior,15,pl POL,CB,25-049,90,0,0,0,0,0,0,0,0,70,1,0,1,0.0,0.0,0.2,1,0,59,64,92.2,7,43,2,0,0
William Saliba,2,fr FRA,CB,24-012,90,0,0,0,0,0,0,0,0,91,2,0,1,0.0,0.0,0.0,0,0,74,78,94.9,3,52,1,1,1
Ben White,4,eng ENG,RB,27-179,60,0,0,0,0,1,0,0,0,41,1,1,0,0.2,0.2,0.3,1,0,28,34,82.4,2,15,0,0,0
Jurriën Timber,12,nl NED,RB,23-292,30,0,0,0,0,1,0,0,0,19,3,0,0,0.2,0.2,0.0,0,0,10,13,76.9,3,8,0,2,1
David Raya,22,es ESP,GK,29-202,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,0,0,34,45,75.6,0,27,0,0,0
