player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Ollie Watkins,11,eng ENG,FW,28-274,83,1,1,0,0,1,1,0,0,30,0,0,0,0.4,0.4,0.1,1,1,19,22,86.4,2,26,0,2,0
Emi Buendía,10,ar ARG,AM,27-279,7,0,0,0,0,1,0,0,0,8,1,0,1,0.1,0.1,0.0,0,0,4,5,80.0,1,5,2,0,0
Jacob Ramsey,41,eng ENG,"LW,LM",23-124,90,0,0,0,0,1,0,0,0,48,1,0,1,0.0,0.0,0.0,2,0,39,43,90.7,3,36,3,2,2
Leon Bailey,31,jm JAM,RW,27-051,63,0,1,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.4,1,1,26,32,81.3,3,27,2,1,0
Jaden Philogene Bidace,19,eng ENG,"RM,RW",22-234,27,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,0,0,6,6,100.0,0,7,0,1,0
Morgan Rogers,27,eng ENG,AM,22-065,63,1,0,0,0,2,1,0,0,28,0,0,0,0.2,0.2,0.0,1,1,16,19,84.2,1,22,1,4,1
Jáder Durán,9,co COL,FW,20-291,27,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,2,0,4,4,100.0,2,4,0,0,0
Youri Tielemans,8,be BEL,"DM,CM",27-145,83,0,0,0,0,1,0,0,0,58,0,1,0,0.0,0.0,0.1,3,0,45,51,88.2,7,49,1,1,1
Ross Barkley,6,eng ENG,DM,30-299,7,0,0,0,0,1,1,0,0,7,0,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,8,1,0,0
Amadou Onana,24,be BEL,"DM,CM",23-044,90,0,0,0,0,0,0,0,0,71,6,2,1,0.0,0.0,0.0,1,0,50,55,90.9,2,43,0,1,0
Lucas Digne,12,fr FRA,LB,31-071,83,0,0,0,0,0,0,1,0,61,3,2,4,0.0,0.0,0.0,0,0,43,50,86.0,2,39,0,0,0
Ian Maatsen,22,nl NED,LB,22-203,7,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,7,9,77.8,1,7,0,0,0
Pau Torres,14,es ESP,CB,27-257,90,0,0,0,0,0,0,0,0,79,1,0,1,0.0,0.0,0.0,1,0,68,77,88.3,0,66,3,1,1
Diego Carlos,3,br BRA,CB,31-198,90,0,0,0,0,0,0,0,0,71,1,0,1,0.0,0.0,0.0,0,0,60,67,89.6,3,59,1,0,0
Ezri Konsa,4,eng ENG,RB,26-342,90,0,0,0,0,0,0,0,0,84,0,0,1,0.0,0.0,0.0,1,1,72,77,93.5,6,59,4,0,0
Emiliano Martínez,23,ar ARG,GK,32-027,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,31,38,81.6,0,21,0,0,0
