player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Liam Delap,19,eng ENG,FW,21-234,89,2,0,0,0,3,3,1,0,18,0,0,1,0.6,0.6,0.0,3,1,4,8,50.0,0,18,4,1,1
George Hirst,27,sct SCO,FW,25-227,1,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0
Jack Clarke,47,eng ENG,LW,23-311,89,0,1,0,0,2,0,0,0,39,3,0,0,0.1,0.1,0.3,6,1,20,29,69.0,3,23,1,4,3
Sammie Szmodics,23,ie IRL,LW,29-005,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,3,1,0,0
Chiedozie Ogbene,21,ie IRL,RW,27-151,68,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,1,0,7,11,63.6,0,11,1,3,1
Wes Burns,7,wls WAL,RW,29-311,22,0,0,0,0,1,0,0,0,6,0,0,1,0.2,0.2,0.0,0,0,2,3,66.7,0,3,1,0,0
Omari Hutchinson,20,eng ENG,AM,20-335,90,0,1,0,0,1,0,0,0,42,0,0,1,0.0,0.0,0.3,5,1,26,32,81.3,4,26,3,6,4
Kalvin Phillips,8,eng ENG,DM,28-302,68,0,0,0,0,1,1,0,0,51,3,1,1,0.0,0.0,0.0,2,1,36,45,80.0,7,30,0,0,0
Jack Taylor,14,ie IRL,DM,26-098,22,0,0,0,0,1,1,0,0,18,0,0,0,0.0,0.0,0.0,1,0,15,17,88.2,3,14,1,0,0
Sam Morsy,5,eg EGY,DM,33-019,89,0,0,0,0,2,0,1,0,56,3,1,0,0.1,0.1,0.0,3,0,50,52,96.2,3,35,0,1,1
Massimo Luongo,25,au AUS,DM,32-004,1,0,0,0,0,0,0,0,0,4,0,1,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0
Leif Davis,3,eng ENG,LB,24-261,90,0,0,0,0,1,0,0,0,56,1,1,1,0.0,0.0,0.5,7,0,33,48,68.8,4,29,2,1,0
Jacob Greaves,24,eng ENG,CB,24-017,90,0,0,0,0,0,0,1,0,73,1,2,0,0.0,0.0,0.0,0,0,59,63,93.7,4,43,1,0,0
Dara O'Shea,26,ie IRL,CB,25-209,90,0,0,0,0,1,0,0,0,67,3,0,0,0.0,0.0,0.0,1,0,48,58,82.8,0,39,1,0,0
Axel Tuanzebe,40,cd COD,RB,26-320,90,0,0,0,0,2,0,1,0,47,2,1,0,0.1,0.1,0.0,1,0,35,42,83.3,4,20,0,0,0
Arijanet Muric,1,xk KVX,GK,25-327,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,21,27,77.8,0,15,0,0,0
