player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Joselu,21,es ESP,FW,27-152,71,1,0,0,0,2,1,0,0,32,1,1,2,0.4,0.4,0.1,3,0,17,25,68.0,3,26,0,0,0
Aleksandar Mitrović,45,rs SRB,FW,22-344,19,1,0,0,0,3,2,0,0,11,0,0,0,1.1,1.1,0.1,3,1,5,7,71.4,0,7,2,1,1
Christian Atsu,30,gh GHA,LW,25-228,90,0,1,0,0,2,1,0,0,34,1,2,5,0.1,0.1,0.4,2,1,13,18,72.2,3,19,3,4,1
Matt Ritchie,11,sct SCO,RW,27-350,87,0,1,0,0,4,1,0,0,52,4,1,0,0.2,0.2,0.3,2,1,23,40,57.5,7,29,1,1,1
Jacob Murphy,7,eng ENG,RW,22-183,3,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,0,0,0,0
Ayoze Pérez,17,es ESP,AM,24-028,90,0,1,0,0,3,1,0,0,40,0,0,3,0.1,0.1,0.8,4,1,16,24,66.7,4,31,4,3,1
Mikel Merino,23,es ESP,DM,21-065,90,0,0,0,0,1,1,1,0,46,2,1,0,0.0,0.0,0.3,5,1,21,38,55.3,5,19,2,3,2
Isaac Hayden,14,eng ENG,DM,22-157,81,0,0,0,0,1,0,0,0,30,0,2,0,0.0,0.0,0.1,4,1,19,27,70.4,4,20,1,0,0
Mohamed Diamé,10,sn SEN,DM,30-073,9,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.1,1,0,2,2,100.0,0,2,0,0,0
Chancel Mbemba,18,cd COD,LB,23-018,90,0,0,0,0,0,0,0,0,48,4,5,0,0.0,0.0,0.0,3,0,17,30,56.7,2,19,2,4,2
Ciaran Clark,2,ie IRL,CB,27-334,90,1,0,0,0,1,1,0,0,33,1,1,0,0.3,0.3,0.0,1,0,15,24,62.5,0,13,0,0,0
Jamaal Lascelles,6,eng ENG,CB,23-288,90,0,0,0,0,0,0,0,0,23,1,0,0,0.0,0.0,0.0,0,0,10,18,55.6,1,10,0,0,0
Javier Manquillo,19,es ESP,RB,23-113,90,0,0,0,0,0,0,0,0,35,0,2,0,0.0,0.0,0.0,2,0,17,29,58.6,0,14,1,0,0
Rob Elliot,1,ie IRL,GK,31-118,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,1,0,18,30,60.0,0,12,0,0,0
