player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Eric Maxim Choupo-Moting,10,cm CMR,"FW,LW",28-184,90,0,0,0,0,3,1,0,0,33,0,0,1,0.1,0.1,0.0,2,0,17,25,68.0,4,22,2,2,1
Jesé,11,es ESP,LW,24-209,60,0,0,0,0,0,0,0,0,16,2,0,0,0.0,0.0,0.0,0,0,8,14,57.1,1,12,1,1,0
Peter Crouch,25,eng ENG,"LW,FW",36-236,30,0,0,0,0,0,0,1,0,8,0,0,0,0.0,0.0,0.1,1,0,6,7,85.7,0,5,0,0,0
Xherdan Shaqiri,22,ch SUI,RW,25-348,90,0,0,0,0,3,1,1,0,65,1,1,0,0.2,0.2,0.0,3,0,39,55,70.9,8,31,3,2,1
Ramadan Sobhi,32,eg EGY,LM,20-243,90,0,0,0,0,0,0,0,0,65,2,3,1,0.0,0.0,0.0,2,0,45,51,88.2,6,27,2,5,0
Darren Fletcher,24,sct SCO,"CM,CB",33-234,90,0,0,0,0,1,0,0,0,54,2,1,0,0.0,0.0,0.2,1,0,39,47,83.0,6,29,1,0,0
Joe Allen,4,wls WAL,CM,27-193,90,0,0,0,0,3,0,0,0,54,2,1,0,0.1,0.1,0.1,4,0,35,42,83.3,13,19,1,0,0
Mame Biram Diouf,18,sn SEN,RM,29-281,90,0,0,0,0,3,0,0,0,54,2,1,1,0.4,0.4,0.0,2,0,28,43,65.1,3,20,0,2,0
Erik Pieters,3,nl NED,CB,29-047,90,0,0,0,0,0,0,0,0,65,3,3,2,0.0,0.0,0.0,1,0,44,56,78.6,6,33,2,0,0
Bruno Martins Indi,15,nl NED,CB,25-227,75,0,0,0,0,0,0,0,0,35,3,1,0,0.0,0.0,0.0,1,0,21,29,72.4,1,9,1,0,0
Ibrahim Afellay,14,nl NED,"CM,CB",31-174,15,0,0,0,0,0,0,0,0,13,0,1,0,0.0,0.0,0.0,0,0,11,12,91.7,0,6,0,0,0
Glen Johnson,8,eng ENG,CB,33-031,90,0,0,0,0,0,0,0,0,52,1,1,0,0.0,0.0,0.0,4,0,39,46,84.8,4,26,0,1,1
Jack Butland,1,eng ENG,GK,24-197,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,1,0,22,41,53.7,0,16,0,0,0
