player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Benik Afobe,9,cd COD,FW,24-251,90,0,0,0,0,1,0,0,0,28,2,0,1,0.0,0.0,0.0,2,1,9,15,60.0,2,20,1,0,0
Lys Mousset,31,fr FRA,FW,21-255,61,0,0,0,0,1,0,0,0,19,1,0,0,0.0,0.0,0.0,0,0,6,10,60.0,1,14,4,1,0
Steve Cook,3,eng ENG,CB,26-185,29,0,0,0,0,0,0,0,0,10,0,1,1,0.0,0.0,0.0,0,0,1,5,20.0,0,2,0,0,0
Junior Stanislas,19,eng ENG,"LM,RM",27-329,90,1,1,1,1,0,0,0,0,39,1,0,0,0.8,0.0,0.2,5,2,18,28,64.3,6,24,5,2,2
Andrew Surman,6,eng ENG,CM,31-062,90,1,0,0,0,1,1,0,0,70,1,0,2,0.1,0.1,0.0,2,0,48,62,77.4,5,37,0,0,0
Lewis Cook,16,eng ENG,CM,20-260,76,0,0,0,0,0,0,1,0,46,1,1,1,0.0,0.0,0.0,0,0,31,41,75.6,4,36,1,1,1
Harry Arter,8,ie IRL,CM,27-297,14,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,0,7,0,1,0
Jordon Ibe,33,eng ENG,RM,21-317,86,0,0,0,0,2,1,0,0,29,0,0,0,0.1,0.1,0.0,0,0,14,21,66.7,2,22,3,2,1
Marc Pugh,7,eng ENG,LM,30-202,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,1,0,0
Charlie Daniels,11,eng ENG,LB,31-044,90,0,0,0,0,0,0,0,0,61,4,1,2,0.0,0.0,0.0,1,0,30,45,66.7,3,25,3,1,0
Nathan Aké,5,nl NED,CB,22-245,90,0,0,0,0,0,0,0,0,60,2,3,0,0.0,0.0,0.0,0,0,38,46,82.6,1,31,0,1,1
Simon Francis,2,eng ENG,CB,32-247,90,0,0,0,0,0,0,0,0,77,0,1,1,0.0,0.0,0.0,0,0,45,59,76.3,2,42,1,0,0
Adam Smith,15,eng ENG,RB,26-175,90,0,0,0,0,1,0,0,0,68,6,1,2,0.0,0.0,0.0,3,1,36,55,65.5,3,29,0,1,1
Asmir Begović,27,ba BIH,GK,30-123,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,17,31,54.8,0,10,0,0,0
