player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Fernando Llorente,18,es ESP,FW,32-310,67,1,0,0,0,2,1,0,0,27,2,0,0,0.4,0.4,0.0,1,0,13,18,72.2,0,10,0,0,0
Harry Kane,10,eng ENG,FW,24-158,23,0,0,0,0,1,0,0,0,11,0,0,0,0.1,0.1,0.1,2,0,4,7,57.1,1,5,1,1,0
Son Heung-min,7,kr KOR,LW,25-178,90,0,0,0,0,2,0,0,0,62,1,0,0,0.1,0.1,0.0,2,1,41,49,83.7,4,43,5,5,1
Érik Lamela,11,ar ARG,RW,25-304,76,0,0,0,0,0,0,1,0,45,2,1,0,0.0,0.0,0.0,2,0,34,39,87.2,1,21,0,2,2
Moussa Sissoko,17,fr FRA,DM,28-139,14,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,3,1,0,0
Dele Alli,20,eng ENG,AM,21-266,90,1,0,0,0,5,2,0,0,76,1,2,1,0.7,0.7,0.1,5,1,46,56,82.1,7,48,7,3,0
Eric Dier,15,eng ENG,"DM,CB",23-352,90,0,0,0,0,1,1,0,0,89,1,1,2,0.1,0.1,0.1,1,0,73,83,88.0,6,38,1,1,0
Christian Eriksen,23,dk DEN,"DM,RW",25-322,90,0,1,0,0,1,1,0,0,92,3,1,0,0.1,0.1,0.4,5,1,68,82,82.9,14,48,0,2,1
Ben Davies,33,wls WAL,LB,24-253,90,0,0,0,0,0,0,0,0,109,3,1,2,0.0,0.0,0.0,1,0,85,99,85.9,15,47,7,2,2
Jan Vertonghen,5,be BEL,CB,30-253,90,0,0,0,0,0,0,0,0,103,2,0,0,0.0,0.0,0.0,1,0,90,97,92.8,9,48,1,0,0
Davinson Sánchez,6,co COL,CB,21-204,58,0,0,0,0,0,0,1,0,80,1,2,0,0.0,0.0,0.0,0,0,67,73,91.8,3,37,0,0,0
Victor Wanyama,12,ke KEN,DM,26-191,32,0,0,0,0,0,0,0,0,27,2,0,1,0.0,0.0,0.0,0,0,20,22,90.9,4,13,1,0,0
Kieran Trippier,2,eng ENG,RB,27-105,90,0,0,0,0,0,0,0,0,75,3,1,1,0.0,0.0,0.1,3,0,58,67,86.6,8,30,0,0,0
Hugo Lloris,1,fr FRA,GK,31-007,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,22,26,84.6,0,9,0,0,0
