player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Harry Kane,10,eng ENG,FW,24-030,90,0,0,0,0,10,2,0,0,31,0,0,1,1.2,1.2,0.0,7,0,11,21,52.4,0,19,4,2,2
Christian Eriksen,23,dk DEN,LW,25-194,87,0,0,0,0,3,1,0,0,72,2,0,0,0.1,0.1,0.3,9,0,49,63,77.8,8,44,1,0,0
Harry Winks,29,eng ENG,"LW,CM",21-206,3,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,1,2,0,0,0
Son Heung-min,7,kr KOR,RW,25-050,69,0,0,0,0,1,0,0,0,44,0,0,0,0.0,0.0,0.1,4,0,31,37,83.8,2,29,3,2,0
Moussa Sissoko,17,fr FRA,"RW,RM",28-011,21,0,0,0,0,1,0,0,0,17,1,0,0,0.0,0.0,0.0,2,0,10,12,83.3,3,12,2,3,2
Dele Alli,20,eng ENG,AM,21-138,90,1,0,0,0,6,2,0,0,47,0,0,0,0.8,0.8,0.1,8,1,26,31,83.9,4,40,5,6,2
Mousa Dembélé,19,be BEL,DM,30-042,89,0,0,0,0,2,0,0,0,60,0,1,0,0.1,0.1,0.1,2,0,56,56,100.0,8,45,6,1,1
Davinson Sánchez,6,co COL,CB,21-076,1,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,1,0,0,0
Eric Dier,15,eng ENG,DM,23-224,90,0,0,0,0,2,0,0,0,75,1,2,0,0.1,0.1,0.0,3,0,60,68,88.2,3,52,2,0,0
Ben Davies,33,wls WAL,LB,24-125,90,0,0,0,0,1,0,0,0,73,3,0,1,0.0,0.0,0.5,6,0,50,62,80.6,7,42,3,0,0
Jan Vertonghen,5,be BEL,CB,30-125,90,0,0,0,0,1,0,0,0,100,0,0,1,0.0,0.0,0.0,3,0,80,91,87.9,11,66,9,1,1
Toby Alderweireld,4,be BEL,CB,28-178,90,0,0,0,0,1,0,0,0,86,1,2,1,0.0,0.0,0.0,4,0,70,79,88.6,9,64,2,2,1
Kieran Trippier,2,eng ENG,RB,26-342,90,0,0,0,0,0,0,0,0,75,1,0,3,0.0,0.0,0.0,2,0,54,67,80.6,3,44,2,1,1
Hugo Lloris,1,fr FRA,GK,30-244,90,0,0,0,0,0,0,0,0,45,0,1,0,0.0,0.0,0.0,0,0,30,42,71.4,0,21,0,0,0
