player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Jay Rodriguez,19,eng ENG,"FW,RM",28-014,87,0,0,0,0,5,3,1,0,31,0,0,1,0.5,0.5,0.1,4,0,12,21,57.1,1,26,1,2,0
Salomón Rondón,9,ve VEN,FW,27-330,3,0,0,0,0,1,1,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,3,1,0,0
James McClean,14,ie IRL,LM,28-112,90,0,0,0,0,2,0,0,0,30,7,0,1,0.1,0.1,0.0,2,0,13,18,72.2,1,16,2,1,0
Sam Field,28,eng ENG,CM,19-096,69,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,2,0,11,13,84.6,4,4,0,0,0
Rekeem Harper,34,eng ENG,CM,17-157,21,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.1,2,0,4,5,80.0,1,4,0,1,0
Jake Livermore,8,eng ENG,CM,27-271,90,0,0,0,0,0,0,0,0,40,3,0,1,0.0,0.0,0.4,4,0,22,33,66.7,5,23,1,1,0
Matt Phillips,10,sct SCO,RM,26-152,71,0,0,0,0,2,0,0,0,35,0,1,1,0.1,0.1,0.1,5,0,16,24,66.7,3,16,5,4,1
Hal Robson-Kanu,4,wls WAL,"FW,RM",28-083,19,0,0,0,0,1,0,1,0,6,0,0,0,0.1,0.1,0.0,0,0,2,4,50.0,0,5,1,1,0
Claudio Yacob,5,ar ARG,DM,30-025,90,0,0,0,0,2,0,1,0,26,2,2,0,0.3,0.3,0.0,1,0,16,16,100.0,1,7,0,0,0
Chris Brunt,11,nir NIR,LB,32-241,90,0,1,0,0,0,0,0,0,56,3,0,0,0.0,0.0,0.4,4,1,19,49,38.8,2,16,0,0,0
Ahmed Hegazi,26,eg EGY,CB,26-199,90,1,0,0,0,3,2,0,0,43,0,3,1,0.2,0.2,0.2,2,0,18,26,69.2,1,14,0,0,0
Craig Dawson,25,eng ENG,CB,27-098,90,0,0,0,0,0,0,0,0,34,0,7,2,0.0,0.0,0.0,0,0,14,21,66.7,0,13,0,0,0
Allan Nyom,2,cm CMR,RB,29-094,90,0,0,0,0,0,0,0,0,46,2,1,1,0.0,0.0,0.0,2,1,26,39,66.7,2,19,0,1,0
Ben Foster,1,eng ENG,GK,34-131,90,0,0,0,0,0,0,0,0,22,1,0,0,0.0,0.0,0.0,0,0,7,21,33.3,0,10,0,0,0
