player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Alexandre Lacazette,9,fr FRA,FW,26-217,90,0,0,0,0,3,1,0,0,36,0,0,1,0.3,0.3,0.1,5,0,17,25,68.0,2,22,1,1,1
Alexis Sánchez,7,cl CHI,AM,29-012,90,0,0,0,0,6,0,0,0,77,1,0,0,0.5,0.5,0.3,7,0,43,62,69.4,12,54,4,4,4
Alex Iwobi,17,ng NGA,AM,21-242,73,0,0,0,0,3,2,0,0,61,1,0,0,0.1,0.1,0.1,3,0,47,56,83.9,4,49,1,0,0
Danny Welbeck,23,eng ENG,AM,27-035,17,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,6,2,0,0
Granit Xhaka,29,ch SUI,CM,25-095,90,0,0,0,0,2,1,0,0,100,0,1,1,0.1,0.1,0.1,6,0,81,94,86.2,9,73,3,0,0
Jack Wilshere,10,eng ENG,CM,25-364,90,0,0,0,0,0,0,1,0,78,2,1,0,0.0,0.0,0.0,1,0,59,68,86.8,5,57,5,6,3
Sead Kolašinac,31,ba BIH,WB,24-194,36,0,0,0,0,0,0,0,0,28,1,1,1,0.0,0.0,0.0,0,0,21,23,91.3,1,16,0,1,0
Ainsley Maitland-Niles,30,eng ENG,WB,20-124,54,0,0,0,0,0,0,0,0,48,2,0,0,0.0,0.0,0.0,0,0,34,43,79.1,2,27,1,2,1
Héctor Bellerín,24,es ESP,WB,22-287,90,0,0,0,0,0,0,0,0,74,0,0,3,0.0,0.0,0.1,3,0,61,69,88.4,1,42,5,0,0
Laurent Koscielny,6,fr FRA,CB,32-112,71,0,0,0,0,0,0,0,0,61,2,3,1,0.0,0.0,0.0,0,0,45,49,91.8,7,40,2,0,0
Per Mertesacker,4,de GER,CB,33-093,19,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,11,13,84.6,0,7,0,0,0
Shkodran Mustafi,20,de GER,CB,25-258,90,0,0,0,0,0,0,1,0,64,2,2,1,0.0,0.0,0.0,0,0,47,53,88.7,3,36,0,0,0
Calum Chambers,21,eng ENG,CB,22-345,90,0,0,0,0,0,0,0,0,103,1,0,3,0.0,0.0,0.0,0,0,75,92,81.5,10,65,1,1,1
Petr Čech,33,cz CZE,GK,35-225,90,0,0,0,0,0,0,1,0,36,0,0,0,0.0,0.0,0.0,0,0,26,32,81.3,0,16,0,0,0
