player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Danny Ward,9,eng ENG,FW,27-144,59,0,0,0,0,3,0,0,0,22,1,0,0,0.1,0.1,0.0,2,0,9,15,60.0,1,11,0,0,0
Kenneth Zohore,10,dk DEN,FW,25-093,31,0,0,0,0,1,1,0,0,17,0,0,1,0.4,0.4,0.0,0,0,4,10,40.0,1,6,0,0,0
Bobby De Cordova-Reid,14,jm JAM,"CM,FW",26-091,90,1,0,0,0,2,2,0,0,31,0,0,1,0.3,0.3,0.4,8,1,16,21,76.2,5,20,2,4,3
Josh Murphy,11,eng ENG,LM,24-069,79,0,0,0,0,3,0,0,0,35,1,0,1,0.3,0.3,0.1,5,0,15,27,55.6,2,16,2,4,3
Junior Hoilett,33,ca CAN,LM,28-333,11,0,0,0,0,2,1,0,0,12,0,0,1,0.4,0.4,0.0,2,0,5,8,62.5,2,5,0,0,0
Víctor Camarasa,21,es ESP,CM,24-341,10,0,0,0,0,1,0,0,0,6,0,0,0,0.0,0.0,0.1,2,0,5,5,100.0,1,4,0,0,0
Leandro Bacuna,15,cw CUW,CM,27-256,80,0,0,0,0,0,0,0,0,29,1,1,1,0.0,0.0,0.0,0,0,12,18,66.7,2,12,1,2,0
Aron Gunnarsson,17,is ISL,"DM,CM",30-012,90,0,0,0,0,0,0,0,0,53,3,2,2,0.0,0.0,0.0,1,0,24,36,66.7,2,17,0,0,0
Nathaniel Mendez-Laing,19,gt GUA,RM,27-019,90,0,1,0,0,2,1,0,0,50,7,1,2,0.1,0.1,0.7,8,1,17,28,60.7,1,23,6,2,1
Joe Bennett,3,eng ENG,LB,29-037,90,0,0,0,0,0,0,0,0,48,1,4,2,0.0,0.0,0.1,1,0,16,36,44.4,3,16,1,1,1
Bruno Ecuele Manga,5,ga GAB,CB,30-292,90,0,0,0,0,2,2,0,0,37,1,0,3,0.1,0.1,0.0,1,0,19,24,79.2,3,12,0,0,0
Sean Morrison,4,eng ENG,CB,28-116,90,0,0,0,0,2,0,0,0,46,1,0,1,0.1,0.1,0.4,3,0,23,39,59.0,2,10,1,0,0
Lee Peltier,2,eng ENG,RB,32-144,90,0,0,0,0,0,0,0,0,37,5,3,1,0.0,0.0,0.0,0,0,10,22,45.5,0,11,1,0,0
Neil Etheridge,1,ph PHI,GK,29-086,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,18,34,52.9,0,14,0,0,0
