player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Romelu Lukaku,9,be BEL,FW,25-272,90,0,0,0,0,1,0,0,0,33,0,0,1,0.1,0.1,0.0,1,1,14,26,53.8,3,14,1,3,3
Anthony Martial,11,fr FRA,LW,23-066,69,1,1,0,0,3,2,0,0,43,1,0,0,0.3,0.3,0.1,5,3,24,35,68.6,3,28,8,2,2
Alexis Sánchez,7,cl CHI,"LW,LM",30-052,21,0,0,0,0,1,1,0,0,10,0,1,0,0.3,0.3,0.1,2,0,4,9,44.4,0,9,2,1,1
Juan Mata,8,es ESP,"RW,RM",30-287,90,0,0,0,0,1,0,0,0,59,0,0,2,0.0,0.0,0.1,5,1,43,51,84.3,5,36,0,2,2
Paul Pogba,6,fr FRA,LM,25-331,73,2,0,1,1,2,1,0,0,62,2,0,3,0.9,0.1,0.0,5,0,36,47,76.6,9,38,1,5,3
Scott McTominay,39,sct SCO,"LM,CM",22-063,17,0,0,0,0,1,0,0,0,11,0,0,0,0.1,0.1,0.0,0,0,6,9,66.7,1,4,0,0,0
Nemanja Matić,31,rs SRB,CM,30-192,90,0,0,0,0,0,0,1,0,68,0,0,1,0.0,0.0,0.0,1,0,51,63,81.0,10,31,0,0,0
Ander Herrera,21,es ESP,RM,29-179,84,0,0,0,0,3,1,0,0,79,1,0,4,0.1,0.1,0.0,3,1,58,67,86.6,10,34,1,2,2
Eric Bailly,3,ci CIV,CB,24-303,6,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,1,0,0,0
Luke Shaw,23,eng ENG,LB,23-212,90,0,0,0,0,0,0,0,0,71,3,1,2,0.0,0.0,0.0,1,0,48,60,80.0,3,37,4,3,1
Phil Jones,4,eng ENG,CB,26-353,90,0,1,0,0,1,1,0,0,53,1,2,2,0.0,0.0,0.1,0,0,31,37,83.8,1,19,1,0,0
Chris Smalling,12,eng ENG,CB,29-079,90,0,0,0,0,0,0,0,0,42,1,0,2,0.0,0.0,0.0,0,0,23,27,85.2,1,13,0,0,0
Diogo Dalot,20,pt POR,RB,19-328,90,0,0,0,0,1,0,0,0,71,2,0,1,0.0,0.0,0.1,1,0,40,57,70.2,3,35,2,0,0
David de Gea,1,es ESP,GK,28-094,90,0,0,0,0,0,0,1,0,38,0,0,0,0.0,0.0,0.0,0,0,23,38,60.5,0,18,0,0,0
