player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Jamie Vardy,9,eng ENG,FW,32-324,90,1,0,0,0,4,1,0,0,24,2,0,0,1.0,1.0,0.3,1,0,11,13,84.6,1,10,3,1,0
Harvey Barnes,15,eng ENG,LM,21-357,81,0,0,0,0,0,0,0,0,41,1,1,1,0.0,0.0,0.0,1,0,22,32,68.8,3,28,7,4,3
Marc Albrighton,11,eng ENG,LM,30-013,9,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,2,4,50.0,0,3,1,0,0
James Maddison,10,eng ENG,"CM,AM",23-008,90,0,0,0,0,2,1,0,0,75,2,0,0,0.3,0.3,0.0,4,0,51,67,76.1,8,40,2,2,1
Youri Tielemans,8,be BEL,"CM,RM",22-208,90,0,0,0,0,2,0,0,0,81,2,1,1,0.1,0.1,0.3,2,1,57,74,77.0,7,39,1,2,0
Ayoze Pérez,17,es ESP,RM,26-125,61,0,0,0,0,3,1,0,0,38,0,0,0,0.2,0.2,0.0,0,0,22,27,81.5,3,23,1,2,1
Kelechi Iheanacho,14,ng NGA,FW,23-059,29,1,1,0,0,3,2,0,0,17,0,0,0,0.5,0.5,0.6,2,1,9,11,81.8,0,17,3,2,1
Wilfred Ndidi,25,ng NGA,DM,22-350,90,0,0,0,0,1,0,0,0,105,4,2,1,0.0,0.0,0.2,8,0,80,93,86.0,12,51,1,1,1
Ben Chilwell,3,eng ENG,LB,22-345,90,0,0,0,0,0,0,0,0,111,3,1,2,0.0,0.0,0.1,2,0,76,99,76.8,5,71,5,0,0
Çağlar Söyüncü,4,tr TUR,CB,23-192,90,0,0,0,0,0,0,0,0,88,1,0,1,0.0,0.0,0.0,1,0,76,83,91.6,6,63,2,1,1
Jonny Evans,6,nir NIR,CB,31-332,90,0,0,0,0,0,0,0,0,109,3,1,1,0.0,0.0,0.0,3,0,83,98,84.7,10,70,3,0,0
Ricardo Pereira,21,pt POR,RB,26-056,90,0,1,0,0,1,1,0,0,97,1,4,2,0.0,0.0,0.4,6,1,60,74,81.1,6,48,2,8,5
Kasper Schmeichel,1,dk DEN,GK,33-026,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,27,31,87.1,0,16,0,0,0
