player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Callum Robinson,11,ie IRL,FW,24-203,53,0,0,0,0,0,0,0,0,23,0,2,0,0.0,0.0,0.0,1,0,13,18,72.2,1,17,0,2,2
Billy Sharp,10,eng ENG,FW,33-200,37,0,0,0,0,0,0,0,0,20,0,1,0,0.0,0.0,0.0,0,0,12,17,70.6,2,13,1,1,1
David McGoldrick,17,ie IRL,FW,31-268,53,0,0,0,0,0,0,0,0,21,2,0,0,0.0,0.0,0.0,0,0,11,16,68.8,1,11,1,1,1
Oliver McBurnie,9,sct SCO,FW,23-081,37,1,0,0,0,1,1,0,0,20,0,0,0,0.1,0.1,0.0,1,0,10,13,76.9,1,9,0,1,0
Luke Freeman,8,eng ENG,"CM,LM",27-155,90,0,0,0,0,0,0,0,0,50,2,2,0,0.0,0.0,0.0,2,0,28,41,68.3,4,35,5,3,3
Oliver Norwood,16,nir NIR,CM,28-134,90,0,0,0,0,1,0,0,0,74,1,2,2,0.1,0.1,0.1,4,1,43,65,66.2,5,28,0,0,0
John Lundstram,7,eng ENG,"CM,RM",25-187,90,0,0,0,0,1,0,1,0,64,0,1,0,0.0,0.0,0.0,0,0,47,59,79.7,5,31,0,1,1
Enda Stevens,3,ie IRL,"WB,LB",29-046,90,0,0,0,0,0,0,0,0,76,5,1,0,0.0,0.0,0.0,1,0,48,61,78.7,10,35,3,3,3
George Baldock,2,gr GRE,"WB,RB",26-168,90,0,1,0,0,2,1,0,0,69,3,0,2,0.1,0.1,0.1,2,1,43,52,82.7,6,30,7,1,0
Jack O'Connell,5,eng ENG,CB,25-148,90,0,0,0,0,1,0,0,0,55,1,2,1,0.1,0.1,0.0,1,0,35,45,77.8,5,17,0,1,0
John Egan,12,ie IRL,CB,26-308,90,0,0,0,0,0,0,0,0,41,1,3,1,0.0,0.0,0.0,0,0,23,31,74.2,2,12,0,0,0
Chris Basham,6,eng ENG,CB,31-035,77,0,0,0,0,0,0,0,0,41,1,1,1,0.0,0.0,0.0,0,0,27,38,71.1,2,14,1,0,0
Ravel Morrison,14,jm JAM,AM,26-203,13,0,0,0,0,1,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,5,6,83.3,1,5,1,0,0
Dean Henderson,1,eng ENG,GK,22-165,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,7,24,29.2,0,6,0,0,0
