player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Pierre-Emerick Aubameyang,14,ga GAB,FW,31-335,90,0,0,0,0,2,0,0,0,26,0,0,0,0.6,0.6,0.0,0,0,15,21,71.4,1,18,0,0,0
Bukayo Saka,7,eng ENG,LW,19-256,64,0,0,0,0,0,0,0,0,44,1,0,0,0.0,0.0,0.0,2,1,24,34,70.6,2,26,1,3,1
Martin Ødegaard,11,no NOR,AM,22-153,26,0,1,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.8,2,1,13,14,92.9,2,10,0,1,1
Nicolas Pépé,19,ci CIV,RW,25-355,90,2,0,0,0,2,2,0,0,78,1,0,1,0.4,0.4,0.0,2,1,53,62,85.5,5,65,4,7,4
Emile Smith Rowe,32,eng ENG,"AM,LW",20-295,90,0,0,0,0,0,0,0,0,52,1,0,1,0.0,0.0,0.0,0,0,38,47,80.9,5,44,5,0,0
Mohamed Elneny,25,eg EGY,DM,28-312,90,0,0,0,0,0,0,1,0,82,0,1,0,0.0,0.0,0.0,0,0,75,79,94.9,13,68,0,0,0
Thomas Partey,18,gh GHA,DM,27-340,77,0,0,0,0,1,0,0,0,85,2,2,1,0.0,0.0,0.0,1,0,66,77,85.7,8,60,1,1,1
Gabriel Martinelli,35,br BRA,DM,19-335,13,1,0,0,0,1,1,0,0,5,0,0,0,0.8,0.8,0.0,0,0,2,3,66.7,0,4,1,1,0
Kieran Tierney,3,sct SCO,LB,23-348,77,0,1,0,0,0,0,0,0,48,0,2,1,0.0,0.0,0.3,1,1,27,40,67.5,1,29,0,1,0
Granit Xhaka,34,ch SUI,LB,28-234,13,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,17,19,89.5,2,13,0,0,0
Gabriel Magalhães,6,br BRA,CB,23-151,90,0,0,0,0,0,0,0,0,72,1,0,0,0.0,0.0,0.0,0,0,55,64,85.9,6,49,1,0,0
Rob Holding,16,eng ENG,CB,25-241,90,0,0,0,0,0,0,0,0,88,0,2,1,0.0,0.0,0.0,0,0,70,80,87.5,2,65,0,0,0
Calum Chambers,21,eng ENG,RB,26-119,90,0,0,0,0,0,0,0,0,110,2,4,1,0.0,0.0,0.5,2,0,74,93,79.6,8,66,1,0,0
Bernd Leno,1,de GER,GK,29-076,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,23,30,76.7,0,20,0,0,0
