player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Patrick Bamford,9,eng ENG,FW,27-156,90,1,0,0,0,5,3,0,0,30,1,0,1,0.8,0.8,0.0,2,0,17,19,89.5,3,15,1,1,1
Jack Harrison,22,eng ENG,"LM,LW",24-080,90,1,0,0,0,2,1,0,0,43,0,2,2,0.1,0.1,0.0,3,0,26,31,83.9,2,30,5,2,2
Mateusz Klich,43,pl POL,CM,30-240,90,0,0,0,0,0,0,0,0,81,1,1,0,0.0,0.0,0.1,3,1,65,77,84.4,11,52,4,0,0
Stuart Dallas,15,nir NIR,CM,29-295,90,0,1,0,0,2,1,0,0,92,4,0,0,0.1,0.1,0.1,4,1,71,82,86.6,10,70,1,0,0
Raphinha,18,br BRA,"RM,RW",24-056,90,0,0,0,0,4,2,0,0,73,1,0,3,0.3,0.3,0.3,6,1,42,58,72.4,4,46,4,2,0
Kalvin Phillips,23,eng ENG,DM,25-068,87,0,0,0,0,0,0,0,0,80,2,2,0,0.0,0.0,0.4,4,0,64,75,85.3,7,52,0,0,0
Jamie Shackleton,46,eng ENG,RM,21-123,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,3,1,0,0
Ezgjan Alioski,10,mk MKD,"LB,LM",28-362,90,0,0,0,0,0,0,0,0,85,5,0,0,0.0,0.0,0.1,3,0,63,76,82.9,1,54,0,0,0
Liam Cooper,6,sct SCO,CB,29-162,90,0,0,0,0,1,0,0,0,115,5,0,2,0.0,0.0,0.0,2,0,98,107,91.6,7,86,1,0,0
Pascal Struijk,21,nl NED,CB,21-181,90,0,0,0,0,3,0,0,0,100,2,0,1,0.6,0.6,0.0,0,0,84,89,94.4,3,75,0,0,0
Luke Ayling,2,eng ENG,"RB,CB",29-167,90,0,0,0,0,0,0,0,0,99,1,1,1,0.0,0.0,0.2,2,0,77,90,85.6,5,67,3,3,2
Illan Meslier,1,fr FRA,GK,20-343,90,0,0,0,0,0,0,0,0,53,0,0,0,0.0,0.0,0.0,0,0,52,53,98.1,0,47,0,0,0
