player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Pedro Neto,7,pt POR,FW,22-074,21,1,0,0,0,1,1,0,0,14,0,0,0,0.4,0.4,0.1,1,0,8,11,72.7,0,13,1,1,1
Hwang Hee-chan,26,kr KOR,FW,26-116,69,0,0,0,0,3,2,0,0,33,0,1,0,0.6,0.6,0.0,1,0,9,19,47.4,1,23,8,4,0
Raúl Jiménez,9,mx MEX,FW,31-017,90,0,1,0,0,0,0,0,0,33,2,0,1,0.0,0.0,0.6,2,1,19,24,79.2,1,12,2,1,1
João Moutinho,28,pt POR,CM,35-256,90,0,0,0,0,0,0,0,0,52,1,1,1,0.0,0.0,0.0,1,0,38,46,82.6,3,33,0,1,0
Rúben Neves,8,pt POR,CM,25-070,90,0,0,0,0,0,0,0,0,63,0,1,2,0.0,0.0,0.1,4,0,44,57,77.2,6,43,0,2,2
Leander Dendoncker,32,be BEL,CM,27-037,89,0,0,0,0,2,1,0,0,37,3,0,0,0.2,0.2,0.0,0,0,26,28,92.9,4,19,0,0,0
Francisco Trincão,11,pt POR,CM,22-144,1,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,3,0,2,0
Rayan Aït-Nouri,3,dz ALG,WB,20-350,90,0,0,0,0,1,1,0,0,67,4,3,0,0.0,0.0,0.0,1,0,38,51,74.5,4,42,1,4,1
Jonny Castro,19,es ESP,WB,28-080,90,0,0,0,0,0,0,0,0,57,2,3,4,0.0,0.0,0.5,2,0,35,40,87.5,2,32,1,2,1
Toti Gomes,24,pt POR,CB,23-126,90,0,0,0,0,0,0,0,0,49,1,3,3,0.0,0.0,0.0,0,0,27,37,73.0,0,31,0,2,2
Conor Coady,16,eng ENG,CB,29-086,90,0,0,0,0,0,0,0,0,70,1,1,5,0.0,0.0,0.0,0,0,46,53,86.8,0,42,0,0,0
Willy Boly,15,ci CIV,CB,31-108,90,0,0,0,0,0,0,0,0,58,3,2,4,0.0,0.0,0.0,0,0,33,35,94.3,0,33,0,0,0
José Sá,1,pt POR,GK,29-125,45,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,1,1,12,15,80.0,0,9,0,0,0
John Ruddy,21,eng ENG,GK,35-210,45,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,6,12,50.0,0,7,0,0,0
