player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Neal Maupay,9,fr FRA,FW,25-063,90,0,0,0,0,1,0,0,0,31,2,0,0,0.3,0.3,0.2,3,0,15,22,68.2,1,18,0,0,0
Leandro Trossard,11,be BEL,"FW,AM",26-316,90,0,0,0,0,3,1,0,0,60,2,1,3,0.1,0.1,0.0,1,0,33,44,75.0,10,34,1,1,1
Jakub Moder,15,pl POL,CM,22-192,83,0,0,0,0,2,0,0,0,46,1,0,0,0.2,0.2,0.0,1,0,36,38,94.7,4,38,0,1,1
Alexis Mac Allister,10,ar ARG,AM,22-296,7,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,5,0,0,0
Adam Lallana,14,eng ENG,CM,33-159,90,0,0,0,0,1,1,1,0,97,1,0,3,0.1,0.1,0.1,1,0,74,85,87.1,3,57,1,2,1
Pascal Groß,13,de GER,CM,30-123,90,0,0,0,0,2,0,0,0,81,4,1,1,0.1,0.1,0.0,5,0,54,68,79.4,7,50,2,0,0
Marc Cucurella,3,es ESP,WB,23-086,65,0,0,0,0,0,0,1,0,45,1,1,3,0.0,0.0,0.1,3,0,33,39,84.6,2,23,0,0,0
Solly March,20,eng ENG,WB,27-088,25,0,0,0,0,0,0,0,0,16,1,1,1,0.0,0.0,0.3,3,0,11,11,100.0,2,10,2,2,2
Joël Veltman,34,nl NED,WB,29-274,58,0,0,0,0,0,0,1,0,54,2,0,1,0.0,0.0,0.0,1,0,26,42,61.9,2,30,1,1,1
Tariq Lamptey,2,gh GHA,WB,21-016,32,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,23,26,88.5,2,22,0,3,0
Dan Burn,33,eng ENG,CB,29-160,90,0,0,0,0,0,0,1,0,88,3,1,1,0.0,0.0,0.0,2,0,60,73,82.2,10,58,4,0,0
Lewis Dunk,5,eng ENG,CB,29-329,90,0,0,0,0,1,1,0,0,79,2,2,3,0.0,0.0,0.0,0,0,60,64,93.8,4,45,1,0,0
Shane Duffy,24,ie IRL,CB,29-288,90,0,0,0,0,1,0,1,0,70,0,1,2,0.0,0.0,0.0,0,0,49,60,81.7,3,36,1,0,0
Robert Sánchez,1,es ESP,GK,23-332,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,32,39,82.1,0,26,0,0,0
