player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Teemu Pukki,22,fi FIN,FW,32-012,88,1,0,0,0,7,2,0,0,25,0,0,1,1.1,1.1,0.4,9,0,10,15,66.7,1,18,5,4,4
Christos Tzolis,18,gr GRE,FW,20-070,2,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0
Milot Rashica,17,xk KVX,LW,25-286,90,0,0,0,0,3,3,0,0,43,0,0,1,0.1,0.1,0.1,2,0,20,32,62.5,1,25,2,2,1
Kieran Dowell,10,eng ENG,RW,24-182,90,0,0,0,0,0,0,0,0,49,1,0,1,0.0,0.0,0.3,4,0,37,44,84.1,6,25,2,3,1
Pierre Lees-Melou,20,fr FRA,AM,28-320,68,1,0,0,0,2,1,1,0,31,0,0,0,0.1,0.1,0.1,3,0,18,24,75.0,4,22,5,2,0
Lukas Rupp,7,de GER,AM,31-092,22,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,2,0,10,12,83.3,0,9,2,3,1
Mathias Normann,16,no NOR,DM,25-317,90,0,1,0,0,1,0,0,0,55,3,0,0,0.0,0.0,0.8,4,1,31,45,68.9,4,19,0,1,0
Kenny McLean,23,sct SCO,DM,30-092,90,0,0,0,0,1,0,0,0,64,1,3,3,0.0,0.0,0.1,2,0,30,48,62.5,6,35,2,1,0
Dimitris Giannoulis,30,gr GRE,LB,26-175,83,0,0,0,0,0,0,0,0,67,0,1,3,0.0,0.0,0.0,3,0,36,52,69.2,3,27,3,2,0
Brandon Williams,21,eng ENG,LB,21-219,7,0,0,0,0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,1,4,0,0,0
Ben Gibson,4,eng ENG,CB,29-085,90,0,0,0,0,0,0,0,0,37,2,0,2,0.0,0.0,0.0,0,0,16,25,64.0,1,9,0,0,0
Grant Hanley,5,sct SCO,CB,30-141,90,0,0,0,0,1,0,0,0,48,1,3,2,0.3,0.3,0.0,0,0,12,29,41.4,2,9,0,0,0
Sam Byram,3,eng ENG,RB,28-206,90,0,0,0,0,1,0,0,0,40,2,0,2,0.1,0.1,0.0,2,2,13,25,52.0,1,10,3,1,0
Tim Krul,1,nl NED,GK,34-007,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,12,34,35.3,0,13,0,0,0
