player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Raúl Jiménez,9,mx MEX,FW,30-129,90,0,0,0,0,1,0,1,0,43,1,1,1,0.2,0.2,0.4,2,0,22,29,75.9,2,25,2,1,0
Adama Traoré,37,es ESP,"LW,RW",25-229,80,0,0,0,0,0,0,0,0,31,0,0,1,0.0,0.0,0.1,7,0,18,23,78.3,0,26,9,11,10
Daniel Podence,10,pt POR,RW,25-325,10,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.2,1,0,7,8,87.5,2,6,0,1,1
Francisco Trincão,11,pt POR,RW,21-256,62,0,0,0,0,2,2,0,0,26,0,0,2,0.1,0.1,0.5,3,0,12,16,75.0,3,19,2,7,4
Hwang Hee-chan,26,kr KOR,LW,25-228,28,1,0,0,0,1,1,0,0,14,3,0,0,0.7,0.7,0.0,0,0,7,8,87.5,0,10,1,3,1
Fernando Marçal,5,br BRA,LM,32-204,90,0,0,0,0,2,0,1,0,67,4,2,2,0.2,0.2,0.0,2,1,47,57,82.5,2,47,5,1,0
João Moutinho,28,pt POR,CM,35-003,90,0,0,0,0,1,0,0,0,58,0,1,0,0.1,0.1,0.4,5,0,50,55,90.9,3,32,0,1,1
Rúben Neves,8,pt POR,CM,24-182,90,0,0,0,0,2,0,0,0,87,5,1,1,0.0,0.0,0.0,3,0,65,76,85.5,9,61,2,1,1
Nélson Semedo,22,pt POR,RM,27-299,90,0,0,0,0,3,1,0,0,67,3,2,2,0.9,0.9,0.0,3,0,38,44,86.4,6,46,8,2,0
Romain Saïss,27,ma MAR,CB,31-169,90,0,0,0,0,1,1,0,0,72,0,2,0,0.1,0.1,0.0,0,0,57,63,90.5,6,58,0,1,1
Conor Coady,16,eng ENG,CB,28-198,90,0,0,0,0,1,0,0,0,63,0,0,0,0.0,0.0,0.0,0,0,55,58,94.8,1,42,0,0,0
Max Kilman,23,eng ENG,CB,24-111,90,0,0,0,0,0,0,1,0,75,3,0,0,0.0,0.0,0.0,1,0,58,66,87.9,7,49,2,1,0
José Sá,1,pt POR,GK,28-237,90,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,15,17,88.2,0,10,0,0,0
