player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Ollie Watkins,11,eng ENG,FW,27-036,90,1,0,0,0,4,1,0,0,25,0,1,1,0.7,0.7,0.1,5,0,8,9,88.9,1,12,0,3,1
Leon Bailey,31,jm JAM,"FW,RW",25-179,81,0,0,0,0,4,2,0,0,41,0,0,0,0.5,0.5,0.1,3,0,15,26,57.7,1,27,4,7,1
Jáder Durán,22,co COL,RW,19-053,9,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,3,5,60.0,1,4,1,1,1
Emi Buendía,10,ar ARG,"LW,LM",26-041,90,0,0,0,0,5,1,0,0,50,0,0,1,0.3,0.3,0.4,7,1,35,39,89.7,9,27,3,3,1
Douglas Luiz,6,br BRA,"DM,CM",24-271,90,0,0,0,0,0,0,0,0,115,1,0,2,0.0,0.0,0.2,4,0,94,110,85.5,9,45,1,2,2
Boubacar Kamara,44,fr FRA,"CM,DM",23-073,81,0,0,0,0,0,0,0,0,54,3,1,0,0.0,0.0,0.1,3,0,40,48,83.3,7,24,0,3,3
Leander Dendoncker,32,be BEL,DM,27-295,9,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,9,10,90.0,4,3,0,0,0
Jacob Ramsey,41,eng ENG,RM,21-252,45,0,0,0,0,0,0,0,0,22,0,0,3,0.0,0.0,0.1,1,0,14,18,77.8,2,7,2,0,0
Philippe Coutinho,23,br BRA,AM,30-237,45,0,0,0,0,2,0,0,0,28,0,0,0,0.1,0.1,0.2,3,0,15,20,75.0,3,16,0,4,0
Lucas Digne,27,fr FRA,LB,29-199,45,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.1,2,0,18,22,81.8,3,10,0,0,0
Álex Moreno,15,es ESP,LB,29-241,45,0,0,0,0,2,0,0,0,38,0,0,0,0.1,0.1,0.0,1,0,20,34,58.8,1,19,4,2,1
Tyrone Mings,5,eng ENG,CB,29-328,90,0,0,0,0,0,0,0,0,75,0,2,1,0.0,0.0,0.0,1,0,60,67,89.6,5,43,1,1,0
Ezri Konsa,4,eng ENG,CB,25-104,90,0,0,0,0,1,0,0,0,94,1,0,1,0.1,0.1,0.0,1,0,85,89,95.5,1,58,0,0,0
Ashley Young,18,eng ENG,RB,37-210,58,0,0,0,0,1,0,0,0,54,4,1,0,0.0,0.0,0.1,2,0,41,48,85.4,5,14,0,1,1
Matty Cash,2,pl POL,RB,25-181,32,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,1,0,29,36,80.6,6,19,1,0,0
Emiliano Martínez,1,ar ARG,GK,30-155,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,25,29,86.2,0,13,0,0,0
