player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Dominic Solanke,9,eng ENG,FW,25-234,89,0,0,0,0,0,0,0,0,23,1,0,0,0.0,0.0,0.1,0,0,10,12,83.3,2,11,1,4,1
David Brooks,7,wls WAL,FW,25-302,1,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,2,0,0,0
Ryan Christie,10,sct SCO,LW,28-073,83,0,1,0,0,2,0,0,0,35,0,0,0,0.3,0.3,0.2,5,1,20,29,69.0,0,19,2,4,2
Antoine Semenyo,24,gh GHA,LW,23-119,7,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,3,4,75.0,0,1,0,0,0
Dango Ouattara,11,bf BFA,RW,21-084,90,0,0,0,0,2,0,0,0,38,2,1,0,0.6,0.6,0.3,5,0,15,21,71.4,0,21,4,1,0
Philip Billing,29,dk DEN,AM,26-329,82,0,0,0,0,1,0,0,0,33,1,0,1,0.1,0.1,0.0,3,0,18,23,78.3,3,21,1,3,2
Jaidon Anthony,32,eng ENG,AM,23-156,8,0,0,0,0,1,1,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,4,1,0,0
Jefferson Lerma,8,co COL,DM,28-193,90,0,0,0,0,1,0,0,0,41,2,0,1,0.0,0.0,0.4,2,0,27,35,77.1,0,16,0,0,0
Joe Rothwell,14,eng ENG,DM,28-115,58,0,0,0,0,0,0,0,0,26,1,0,1,0.0,0.0,0.0,0,0,19,23,82.6,2,16,1,1,0
Lewis Cook,4,eng ENG,DM,26-092,32,0,0,0,0,0,0,0,0,14,1,1,0,0.0,0.0,0.0,1,0,8,10,80.0,0,5,0,0,0
Matías Viña,18,uy URU,LB,25-178,90,1,0,0,0,3,3,0,0,54,1,0,2,0.3,0.3,0.0,1,1,29,37,78.4,4,18,4,2,2
Lloyd Kelly,5,eng ENG,CB,24-212,90,0,0,0,0,0,0,0,0,48,2,0,0,0.0,0.0,0.2,0,0,28,36,77.8,2,26,1,0,0
Marcos Senesi,25,ar ARG,CB,25-361,90,0,0,0,0,0,0,1,0,57,3,4,0,0.0,0.0,0.0,1,0,33,45,73.3,8,38,0,1,1
Adam Smith,15,eng ENG,RB,32-007,90,0,0,0,0,0,0,0,0,42,1,2,0,0.0,0.0,0.0,1,0,25,37,67.6,2,19,1,0,0
Neto,13,br BRA,GK,33-291,90,0,0,0,0,0,0,0,0,32,1,0,0,0.0,0.0,0.0,0,0,21,30,70.0,0,13,0,0,0
