player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Ivan Toney,17,eng ENG,FW,27-002,90,0,0,0,0,2,0,0,0,30,1,0,0,0.2,0.2,0.0,2,0,14,21,66.7,4,15,1,2,0
Yoane Wissa,11,cd COD,LW,26-196,60,0,0,0,0,1,1,0,0,24,0,0,0,0.0,0.0,0.0,1,0,16,22,72.7,2,18,0,4,4
Kevin Schade,9,de GER,"RW,CM",21-111,30,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,4,1,2,0
Bryan Mbeumo,19,cm CMR,"RW,LW",23-223,89,0,0,0,0,3,0,0,0,56,1,0,0,0.2,0.2,0.0,2,1,26,48,54.2,2,33,4,3,2
Pontus Jansson,18,se SWE,CB,32-033,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Mathias Jensen,8,dk DEN,LM,27-076,74,1,0,0,0,1,1,0,0,54,2,2,1,0.0,0.0,0.2,3,0,31,47,66.0,4,26,1,1,0
Shandon Baptiste,26,gd GRN,LM,24-344,15,0,0,0,0,0,0,2,1,11,0,0,0,0.0,0.0,0.0,0,0,7,7,100.0,1,9,0,1,1
Christian Nørgaard,6,dk DEN,CM,29-008,90,0,0,0,0,0,0,1,0,72,4,2,3,0.0,0.0,0.0,0,0,44,57,77.2,8,29,1,2,1
Mikkel Damsgaard,24,dk DEN,RM,22-258,60,0,0,0,0,1,0,0,0,42,2,0,0,0.1,0.1,0.1,2,0,26,38,68.4,4,27,0,2,2
Josh Dasilva,10,eng ENG,"RM,CM",24-146,30,0,0,0,0,0,0,0,0,28,0,1,1,0.0,0.0,0.0,1,0,18,20,90.0,0,16,1,3,1
Rico Henry,3,eng ENG,LB,25-253,90,0,0,0,0,3,0,0,0,66,2,0,0,0.1,0.1,0.2,4,1,41,56,73.2,5,31,1,1,0
Ben Mee,16,eng ENG,CB,33-178,90,0,0,0,0,0,0,0,0,79,3,1,1,0.0,0.0,0.0,5,0,51,68,75.0,4,49,0,1,1
Ethan Pinnock,5,jm JAM,CB,29-293,90,0,0,0,0,0,0,0,0,69,2,0,3,0.0,0.0,0.0,1,0,47,55,85.5,2,32,0,0,0
Aaron Hickey,2,sct SCO,RB,20-281,90,0,0,0,0,0,0,0,0,64,5,1,1,0.0,0.0,0.0,0,0,48,51,94.1,4,30,1,1,1
David Raya,1,es ESP,GK,27-184,90,0,0,0,0,0,0,0,0,45,0,1,0,0.0,0.0,0.0,1,0,32,44,72.7,0,26,0,0,0
