player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Raheem Sterling,17,eng ENG,"FW,LW",27-269,90,0,0,0,0,0,0,0,0,42,0,0,1,0.0,0.0,0.0,0,0,27,34,79.4,1,29,4,5,3
Christian Pulisic,10,us USA,FW,23-350,59,0,0,0,0,1,0,0,0,31,0,0,0,0.1,0.1,0.0,4,0,24,26,92.3,3,19,3,3,1
Mason Mount,19,eng ENG,"CM,FW",23-236,31,0,0,0,0,0,0,0,0,23,1,0,0,0.0,0.0,0.0,1,0,15,21,71.4,4,12,1,0,0
Marc Cucurella,32,es ESP,LW,24-043,71,0,0,0,0,0,0,1,0,59,2,0,3,0.0,0.0,0.0,1,0,38,51,74.5,4,21,1,1,0
Ben Chilwell,21,eng ENG,LM,25-256,19,1,1,0,0,1,1,0,0,18,0,0,0,0.2,0.2,0.1,1,1,6,13,46.2,2,6,1,0,0
Reece James,24,eng ENG,"RW,RM",22-269,90,0,0,0,0,0,0,1,0,63,1,0,3,0.0,0.0,0.0,2,0,47,57,82.5,2,33,5,3,2
Mateo Kovačić,8,hr CRO,CM,28-120,71,0,0,0,0,1,0,0,0,67,1,0,0,0.0,0.0,0.3,1,0,52,61,85.2,5,44,1,2,1
Kai Havertz,29,de GER,RW,23-084,19,1,0,0,0,1,1,1,0,11,1,0,1,0.1,0.1,0.0,0,0,3,4,75.0,0,4,0,0,0
Conor Gallagher,23,eng ENG,CM,22-209,59,0,0,0,0,1,0,0,0,40,1,0,0,0.0,0.0,0.1,2,0,29,37,78.4,5,24,1,0,0
Armando Broja,18,al ALB,"FW,CM",20-358,31,0,0,0,0,1,1,0,0,17,1,0,2,0.3,0.3,0.0,1,1,3,6,50.0,1,4,0,0,0
Ruben Loftus-Cheek,12,eng ENG,"DM,CM",26-223,82,0,0,0,0,0,0,1,0,91,2,0,1,0.0,0.0,0.0,0,0,79,84,94.0,15,57,4,2,1
Jorginho,5,it ITA,CM,30-257,8,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,2,0,0,0
Kalidou Koulibaly,26,sn SEN,CB,31-075,90,0,0,0,0,1,0,0,0,92,0,0,0,0.1,0.1,0.0,1,1,72,84,85.7,6,55,1,1,1
Thiago Silva,6,br BRA,CB,37-346,90,0,1,0,0,0,0,0,0,114,3,2,0,0.0,0.0,0.2,1,1,99,106,93.4,6,74,0,0,0
Wesley Fofana,33,fr FRA,CB,21-260,90,0,0,0,0,1,0,0,0,105,3,1,0,0.0,0.0,0.0,1,0,83,94,88.3,4,76,5,0,0
Edouard Mendy,16,sn SEN,GK,30-186,90,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,17,21,81.0,0,16,0,0,0
