player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Cody Gakpo,18,nl NED,"FW,LW,LM",23-337,90,0,0,0,0,1,0,0,0,44,2,0,1,0.0,0.0,0.1,4,0,27,36,75.0,3,21,4,1,0
Diogo Jota,20,pt POR,LW,26-126,59,0,0,0,0,1,0,0,0,27,0,0,1,0.1,0.1,0.2,2,0,12,17,70.6,2,10,0,0,0
Darwin Núñez,27,uy URU,"FW,LW",23-289,31,0,0,0,0,1,1,0,0,12,0,0,0,0.4,0.4,0.6,1,0,6,9,66.7,1,9,2,2,1
Mohamed Salah,11,eg EGY,RW,30-298,90,1,0,0,1,9,3,0,0,67,1,0,1,2.1,1.4,0.4,3,0,30,39,76.9,7,34,4,7,0
Curtis Jones,17,eng ENG,LM,22-069,59,0,0,0,0,0,0,0,0,40,1,0,0,0.0,0.0,0.0,5,0,26,31,83.9,3,24,2,2,1
Thiago Alcántara,6,es ESP,"LM,RM",31-363,31,0,0,0,0,0,0,0,0,32,2,1,0,0.0,0.0,0.0,1,0,25,29,86.2,5,15,0,0,0
Fabinho,3,br BRA,CM,29-168,77,0,0,0,0,1,0,1,0,44,1,1,2,0.0,0.0,0.1,1,0,31,38,81.6,1,19,1,1,1
Roberto Firmino,9,br BRA,"FW,CM",31-189,13,1,0,0,0,1,1,0,0,14,1,0,0,0.2,0.2,0.0,1,0,7,10,70.0,1,10,1,0,0
Jordan Henderson,14,eng ENG,"RM,CM",32-296,90,0,0,0,0,2,0,0,0,64,2,2,2,0.3,0.3,0.3,6,1,47,56,83.9,11,28,1,0,0
Andrew Robertson,26,sct SCO,LB,29-029,90,0,0,0,0,1,0,1,0,64,2,1,0,0.1,0.1,0.5,3,0,42,56,75.0,5,24,2,1,0
Virgil van Dijk,4,nl NED,CB,31-275,90,0,0,0,0,0,0,1,0,76,1,2,0,0.0,0.0,0.0,2,0,52,65,80.0,2,23,0,0,0
Ibrahima Konaté,5,fr FRA,CB,23-319,90,0,0,0,0,2,1,0,0,67,5,3,1,0.6,0.6,0.0,1,0,47,57,82.5,2,32,0,0,0
Trent Alexander-Arnold,66,eng ENG,RB,24-184,90,0,1,0,0,1,0,1,0,72,4,1,1,0.0,0.0,0.3,7,2,51,64,79.7,10,29,3,1,1
Alisson,1,br BRA,GK,30-189,90,0,0,0,0,0,0,0,0,63,0,0,0,0.0,0.0,0.0,0,0,53,61,86.9,0,37,0,0,0
