player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Anthony Martial,9,fr FRA,FW,27-029,68,0,0,0,0,2,0,0,0,25,0,0,0,0.3,0.3,0.0,1,0,17,21,81.0,3,12,1,1,0
Anthony Elanga,36,se SWE,FW,20-251,22,0,0,0,0,1,0,0,0,7,0,0,0,0.1,0.1,0.0,1,0,3,6,50.0,0,6,0,0,0
Marcus Rashford,10,eng ENG,"RW,LW",25-064,90,1,0,0,0,3,1,0,0,49,0,1,0,0.5,0.5,0.1,3,1,29,39,74.4,3,29,6,6,2
Bruno Fernandes,8,pt POR,"AM,RW",28-117,90,0,1,0,0,3,1,0,0,68,2,0,0,0.2,0.2,0.7,8,2,41,59,69.5,8,46,6,2,1
Donny van de Beek,34,nl NED,AM,25-260,44,0,0,0,0,0,0,0,0,17,0,1,1,0.0,0.0,0.0,1,0,7,14,50.0,0,12,0,0,0
Alejandro Garnacho,49,ar ARG,LW,18-186,46,0,1,0,0,3,1,0,0,17,0,1,1,0.2,0.2,0.3,3,1,9,9,100.0,0,11,1,2,0
Christian Eriksen,14,dk DEN,DM,30-323,67,0,1,0,0,1,0,0,0,74,2,0,0,0.1,0.1,0.4,2,1,56,67,83.6,7,38,1,1,0
Fred,17,br BRA,DM,29-304,23,0,0,0,0,0,0,0,0,22,0,1,1,0.0,0.0,0.1,3,0,19,19,100.0,3,11,0,0,0
Casemiro,18,br BRA,DM,30-314,90,1,0,0,0,2,1,0,0,68,1,0,1,0.5,0.5,0.2,3,0,51,60,85.0,4,36,0,1,0
Luke Shaw,23,eng ENG,LB,27-175,90,1,0,0,0,1,1,0,0,116,1,0,1,0.3,0.3,0.1,4,1,92,104,88.5,10,82,1,2,1
Victor Lindelöf,2,se SWE,CB,28-170,87,0,0,0,0,0,0,0,0,90,0,1,1,0.0,0.0,0.0,0,0,78,84,92.9,4,65,0,0,0
Lisandro Martínez,6,ar ARG,CB,24-350,3,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,3,4,75.0,1,3,0,0,0
Harry Maguire,5,eng ENG,CB,29-304,90,0,0,0,0,0,0,0,0,74,2,2,1,0.0,0.0,0.0,0,0,58,65,89.2,3,47,0,0,0
Aaron Wan-Bissaka,29,eng ENG,RB,25-038,68,0,0,0,0,0,0,0,0,36,1,2,2,0.0,0.0,0.1,2,0,22,31,71.0,1,16,0,0,0
Diogo Dalot,20,pt POR,RB,23-291,22,0,0,0,0,2,1,0,0,14,0,1,0,0.1,0.1,0.1,3,0,9,12,75.0,1,7,1,0,0
David de Gea,1,es ESP,GK,32-057,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,18,20,90.0,0,13,0,0,0
