player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Dominic Solanke,9,eng ENG,FW,24-354,89,1,1,0,0,1,1,0,0,27,1,0,0,0.1,0.1,0.3,1,1,17,18,94.4,3,18,2,2,0
Jack Stacey,17,eng ENG,FW,26-150,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0
Marcus Tavernier,16,eng ENG,"WB,LW",23-165,90,0,0,0,0,2,0,0,0,62,2,0,0,0.2,0.2,0.2,3,1,35,48,72.9,4,36,2,5,2
Ryan Christie,10,sct SCO,"RW,AM",27-193,84,0,0,0,0,2,0,0,0,36,2,0,0,0.2,0.2,0.0,1,0,26,27,96.3,3,21,4,1,0
Jaidon Anthony,32,eng ENG,CM,22-276,6,1,0,0,0,1,1,0,0,5,1,0,1,0.3,0.3,0.1,2,0,1,1,100.0,1,2,1,1,1
Philip Billing,29,dk DEN,AM,26-084,89,1,0,0,0,1,1,0,0,51,0,0,1,0.0,0.0,0.1,2,0,33,44,75.0,3,29,1,0,0
Kieffer Moore,21,wls WAL,AM,30-026,1,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0
Jefferson Lerma,8,co COL,"CM,DM",27-313,90,0,0,0,0,0,0,0,0,73,1,1,0,0.0,0.0,0.0,0,0,55,67,82.1,3,49,3,0,0
Lewis Cook,4,eng ENG,"CM,DM",25-212,90,0,1,0,0,1,0,0,0,64,4,1,2,0.0,0.0,0.1,3,2,38,51,74.5,1,33,1,0,0
Jordan Zemura,33,zw ZIM,LB,22-293,45,0,0,0,0,0,0,0,0,44,0,0,1,0.0,0.0,0.0,0,0,28,38,73.7,5,29,2,2,1
Ryan Fredericks,2,eng ENG,WB,29-328,45,0,0,0,0,0,0,0,0,30,0,0,2,0.0,0.0,0.0,1,0,15,23,65.2,3,16,2,1,0
Lloyd Kelly,5,eng ENG,CB,23-332,90,0,1,0,0,0,0,0,0,54,0,0,0,0.0,0.0,0.1,1,1,38,47,80.9,1,32,1,0,0
Chris Mepham,6,wls WAL,CB,24-302,90,0,0,0,0,0,0,0,0,59,1,0,3,0.0,0.0,0.0,0,0,35,44,79.5,0,38,0,0,0
Adam Smith,15,eng ENG,"CB,RB",31-127,90,0,0,0,0,0,0,0,0,72,0,1,0,0.0,0.0,0.0,0,0,51,64,79.7,2,33,2,2,1
Neto,13,br BRA,GK,33-046,90,0,0,0,0,0,0,1,0,22,0,0,0,0.0,0.0,0.0,0,0,16,20,80.0,0,13,0,0,0
