player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Chris Wood,39,nz NZL,FW,31-088,70,0,0,0,0,1,0,0,0,18,0,0,0,0.1,0.1,0.1,1,0,9,14,64.3,5,6,2,1,0
André Ayew,34,gh GHA,FW,33-078,20,0,0,0,0,1,1,0,0,7,0,0,0,0.1,0.1,0.0,0,0,1,3,33.3,0,5,1,1,0
Morgan Gibbs-White,10,eng ENG,AM,23-037,90,0,0,0,0,2,1,1,0,63,1,0,3,0.1,0.1,0.2,5,1,26,40,65.0,5,30,3,7,0
Brennan Johnson,20,wls WAL,"AM,RW",21-286,90,2,0,0,0,4,2,0,0,29,1,0,2,0.6,0.6,0.0,2,1,14,20,70.0,1,22,4,4,4
Jack Colback,8,eng ENG,LM,33-132,69,0,0,0,0,0,0,0,0,40,2,0,0,0.0,0.0,0.0,0,0,26,33,78.8,3,21,0,2,2
Ryan Yates,22,eng ENG,"DM,LM",25-104,21,0,1,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.1,2,1,3,5,60.0,0,2,1,0,0
Remo Freuler,23,ch SUI,CM,30-324,70,0,0,0,0,0,0,0,0,58,1,0,3,0.0,0.0,0.0,1,0,40,49,81.6,1,34,1,0,0
Emmanuel Dennis,25,ng NGA,"LW,CM",25-110,20,0,0,0,0,0,0,0,0,12,2,0,1,0.0,0.0,0.0,1,0,3,6,50.0,1,8,1,4,0
Jonjo Shelvey,6,eng ENG,"RM,DM",31-006,90,0,0,0,0,1,0,0,0,66,0,2,1,0.0,0.0,0.0,2,0,38,59,64.4,6,37,0,2,2
Renan Lodi,32,br BRA,LB,24-331,90,0,0,0,0,0,0,1,0,58,5,2,1,0.0,0.0,0.1,1,0,34,43,79.1,2,30,1,4,3
Felipe,38,br BRA,CB,33-293,90,0,0,0,0,0,0,1,0,93,3,3,4,0.0,0.0,0.0,1,0,58,76,76.3,2,51,2,1,1
Joe Worrall,4,eng ENG,CB,26-054,90,0,0,0,0,0,0,0,0,86,4,2,2,0.0,0.0,0.0,1,0,59,73,80.8,6,54,0,0,0
Serge Aurier,24,ci CIV,RB,30-071,90,0,0,0,0,1,0,0,0,91,5,0,5,0.0,0.0,0.0,1,0,57,76,75.0,5,41,0,1,0
Keylor Navas,12,cr CRC,GK,36-080,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,26,34,76.5,0,16,0,0,0
