player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Danny Ings,18,eng ENG,FW,30-302,89,0,1,0,0,3,0,0,0,40,1,0,2,0.2,0.2,0.6,4,1,20,29,69.0,2,18,1,3,0
Divin Mubama,72,eng ENG,FW,18-208,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,2,0,1,0
Pablo Fornals,8,es ESP,LW,27-088,89,0,0,0,0,2,0,0,0,66,0,1,1,0.1,0.1,0.1,6,1,42,55,76.4,12,42,6,2,1
Ben Johnson,2,eng ENG,"RW,LW",23-117,1,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Jarrod Bowen,20,eng ENG,RW,26-152,83,1,1,0,0,2,2,0,0,50,1,1,0,0.4,0.4,0.5,5,1,24,37,64.9,2,25,4,4,1
Manuel Lanzini,10,ar ARG,"RW,LW",30-095,7,1,0,0,0,1,1,0,0,9,0,1,0,0.5,0.5,0.2,1,0,5,8,62.5,1,5,0,0,0
Lucas Paquetá,11,br BRA,AM,25-267,90,0,1,0,0,4,2,1,0,91,4,1,0,0.3,0.3,0.6,9,3,60,73,82.2,10,49,4,10,6
Declan Rice,41,eng ENG,DM,24-127,90,1,0,0,0,3,1,0,0,81,0,0,1,0.3,0.3,0.0,2,0,65,72,90.3,6,59,1,3,2
Tomáš Souček,28,cz CZE,DM,28-083,90,0,0,0,0,2,2,0,0,62,2,3,0,0.4,0.4,0.0,0,0,34,48,70.8,1,35,0,1,0
Emerson Palmieri,33,it ITA,LB,28-291,90,0,0,0,0,1,1,0,0,72,1,1,2,0.0,0.0,0.0,3,0,50,61,82.0,2,37,2,3,1
Angelo Ogbonna,21,it ITA,CB,34-363,90,0,0,0,0,0,0,0,0,53,0,0,1,0.0,0.0,0.0,0,0,36,46,78.3,1,27,0,0,0
Kurt Zouma,4,fr FRA,CB,28-206,45,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,12,14,85.7,1,8,0,1,0
Thilo Kehrer,24,de GER,CB,26-242,45,0,0,0,0,1,0,0,0,35,0,2,1,0.1,0.1,0.0,0,0,28,29,96.6,2,22,0,0,0
Vladimír Coufal,5,cz CZE,RB,30-272,90,0,0,0,0,0,0,0,0,79,2,1,1,0.0,0.0,0.0,3,0,53,70,75.7,2,33,4,1,0
Łukasz Fabiański,1,pl POL,GK,38-033,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,24,31,77.4,0,18,0,0,0
