player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Nicolas Jackson,15,sn SEN,FW,22-330,89,0,0,0,0,1,0,0,0,25,1,0,0,0.6,0.6,0.1,5,0,16,17,94.1,2,14,3,3,2
Thiago Silva,6,br BRA,"CB,FW",39-236,1,0,0,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,0,0,1,3,33.3,1,1,0,0,0
Mykhailo Mudryk,10,ua UKR,LW,23-131,41,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,1,0,7,8,87.5,0,3,0,1,1
Christopher Nkunku,18,fr FRA,"LW,FW",26-183,49,1,0,0,0,2,1,0,0,38,2,0,1,0.3,0.3,0.1,1,0,22,28,78.6,4,20,1,3,1
Noni Madueke,11,eng ENG,RW,22-066,68,0,0,0,0,1,1,0,0,39,1,0,0,0.0,0.0,0.0,4,1,24,26,92.3,4,21,3,6,1
Raheem Sterling,7,eng ENG,"RW,LW",29-159,22,0,0,0,0,1,1,1,0,7,0,1,0,0.0,0.0,0.0,0,0,4,5,80.0,0,4,0,0,0
Cole Palmer,20,eng ENG,"AM,RW",22-009,89,1,0,0,0,7,2,0,0,45,0,1,2,0.5,0.5,0.6,4,0,18,27,66.7,4,24,4,3,0
Cesare Casadei,31,it ITA,RW,21-126,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Conor Gallagher,23,eng ENG,DM,24-099,89,0,0,0,0,0,0,0,0,64,1,2,1,0.0,0.0,0.0,2,1,45,49,91.8,6,32,1,1,1
Lesley Ugochukwu,16,fr FRA,DM,20-050,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Moisés Caicedo,25,ec ECU,DM,22-195,90,0,0,0,0,0,0,1,0,59,1,0,2,0.0,0.0,0.1,5,0,51,55,92.7,6,21,2,2,1
Marc Cucurella,3,es ESP,LB,25-298,90,0,1,0,0,0,0,0,0,50,2,0,1,0.0,0.0,0.1,1,1,41,44,93.2,1,17,2,1,0
Benoît Badiashile,5,fr FRA,CB,23-050,90,0,0,0,0,0,0,0,0,63,0,0,1,0.0,0.0,0.0,0,0,50,56,89.3,0,31,1,0,0
Trevoh Chalobah,14,eng ENG,"CB,RB",24-315,90,0,0,0,0,0,0,0,0,92,4,0,2,0.0,0.0,0.0,0,0,68,74,91.9,0,46,1,1,1
Malo Gusto,27,fr FRA,RB,20-362,68,0,1,0,0,2,1,0,0,64,2,1,0,0.1,0.1,0.4,2,1,46,52,88.5,1,30,1,0,0
Reece James,24,eng ENG,RB,24-159,19,0,0,0,0,0,0,0,1,12,0,0,0,0.0,0.0,0.0,0,0,7,9,77.8,0,7,0,1,0
Đorđe Petrović,28,rs SRB,GK,24-220,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,0,0,39,44,88.6,0,17,0,0,0
