player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
David Datro Fofana,23,ci CIV,"FW,LM",21-102,90,0,0,0,0,1,0,0,0,39,0,0,0,0.1,0.1,0.1,3,0,20,26,76.9,1,26,0,4,0
Wilson Odobert,47,fr FRA,FW,19-126,90,0,0,0,0,4,2,0,0,34,0,0,0,0.2,0.2,0.0,3,0,24,28,85.7,8,23,3,2,0
Jacob Bruun Larsen,34,dk DEN,LM,25-196,72,1,0,0,0,2,2,0,0,40,1,2,0,0.8,0.8,0.0,1,0,18,29,62.1,1,21,1,2,1
Jay Rodriguez,9,eng ENG,FW,34-248,18,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,2,6,0,0,0
Sander Berge,16,no NOR,CM,26-048,90,0,0,0,0,0,0,0,0,67,6,1,5,0.0,0.0,0.0,0,0,48,55,87.3,7,40,3,1,0
Josh Cullen,24,ie IRL,CM,27-361,90,0,0,0,0,1,0,0,0,75,0,0,0,0.0,0.0,0.0,1,0,56,64,87.5,3,46,1,0,0
Lyle Foster,17,za RSA,RM,23-212,85,0,0,0,0,0,0,0,0,32,1,0,0,0.0,0.0,0.2,4,0,21,26,80.8,4,25,6,5,4
Benson Manuel,10,ao ANG,RM,27-005,5,0,0,0,0,1,1,0,0,7,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,5,0,1,0
Charlie Taylor,3,eng ENG,LB,30-197,90,0,0,0,0,0,0,0,0,65,1,0,0,0.0,0.0,0.0,3,0,44,60,73.3,4,33,5,1,1
Maxime Estève,33,fr FRA,CB,21-312,90,0,0,0,0,1,0,0,0,70,1,2,2,0.0,0.0,0.0,0,0,55,61,90.2,3,47,3,0,0
Dara O'Shea,2,ie IRL,CB,25-029,90,0,1,0,0,1,0,0,0,73,4,0,0,0.0,0.0,0.3,2,1,55,66,83.3,6,45,2,0,0
Vitinho,22,br BRA,RB,24-254,90,0,0,0,0,2,1,0,0,63,2,1,2,0.1,0.1,0.5,5,0,36,52,69.2,1,35,4,3,2
Arijanet Muric,49,xk KVX,GK,25-147,90,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,1,1,35,53,66.0,0,37,0,0,0
