player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Carlton Morris,9,eng ENG,FW,27-330,90,0,0,0,0,2,1,0,0,35,0,0,2,0.1,0.1,0.0,1,0,12,16,75.0,1,16,1,2,1
Chiedozie Ogbene,7,ie IRL,"AM,WB",26-194,85,0,0,0,0,1,1,0,0,31,1,1,0,0.0,0.0,0.1,4,0,16,21,76.2,0,20,4,1,0
Ryan Giles,26,eng ENG,WB,23-289,5,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,3,1,0,0
Andros Townsend,30,eng ENG,AM,32-118,60,0,0,0,0,3,1,0,0,30,3,2,1,0.1,0.1,0.0,0,0,10,18,55.6,1,14,4,4,2
Tahith Chong,14,nl NED,AM,23-342,30,0,0,0,0,1,0,0,0,19,0,0,0,0.0,0.0,0.0,3,0,15,15,100.0,3,18,0,0,0
Ross Barkley,6,eng ENG,CM,29-341,90,0,0,0,0,2,0,0,0,52,0,1,1,0.1,0.1,0.1,2,0,37,44,84.1,3,30,2,2,1
Marvelous Nakamba,13,zw ZIM,CM,29-296,84,0,0,0,0,0,0,0,0,30,1,1,2,0.0,0.0,0.0,0,0,20,22,90.9,2,11,0,3,0
Pelly Ruddock Mpanzu,17,cd COD,CM,30-117,6,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,3,0,0,0
Alfie Doughty,45,eng ENG,WB,23-325,72,0,0,0,0,0,0,0,0,35,2,2,2,0.0,0.0,0.0,3,0,22,28,78.6,5,15,4,0,0
Jordan Clark,18,eng ENG,"AM,WB",30-050,18,0,0,0,0,0,0,0,0,12,0,0,1,0.0,0.0,0.0,0,0,8,11,72.7,2,5,0,0,0
Issa Kaboré,12,bf BFA,WB,22-183,85,0,0,0,0,0,0,1,0,43,3,0,0,0.0,0.0,0.1,3,0,23,34,67.6,1,21,3,4,2
Elijah Adebayo,11,eng ENG,"AM,WB",25-308,5,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,2,3,66.7,0,4,0,0,0
Gabriel Osho,2,ng NGA,CB,25-089,90,0,0,0,0,0,0,0,0,42,0,2,1,0.0,0.0,0.0,0,0,22,28,78.6,0,18,0,1,0
Tom Lockyer,4,wls WAL,CB,28-343,90,0,0,0,0,0,0,1,0,61,1,5,0,0.0,0.0,0.0,0,0,37,48,77.1,3,25,1,0,0
Teden Mengi,15,eng ENG,CB,21-195,90,0,0,0,0,1,1,0,0,41,3,1,1,0.0,0.0,0.0,0,0,22,27,81.5,0,19,1,2,1
Thomas Kaminski,24,be BEL,GK,31-019,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,18,34,52.9,0,16,0,0,0
